ZIP Encoding,Monte_Carlo_Run,Iteration,Number of experiments,MEDV_Measurements,MEDV_IterBest,Running best house price
OHE,0,36,37,[0.477],0.477,4.699505
OHE,0,37,38,[3.473005],3.4730049999999997,4.699505
OHE,0,38,39,[2.372],2.372,4.699505
OHE,0,39,40,[1.10466667],1.104666666666667,4.699505
OHE,0,40,41,[1.425],1.425,4.699505
OHE,0,41,42,[2.26125],2.26125,4.699505
OHE,0,42,43,[1.85073077],1.8507307692307693,4.699505
OHE,0,43,44,[0.9397],0.9397,4.699505
OHE,0,44,45,[0.936],0.936,4.699505
OHE,0,45,46,[0.87355319],0.8735531914893617,4.699505
OHE,0,46,47,[1.0555],1.0555,4.699505
OHE,0,47,48,[2.671434],2.6714339999999996,4.699505
OHE,0,48,49,[4.82320077],4.823200769230769,4.823200769230769
OHE,0,49,50,[1.938],1.938,4.823200769230769
INT,0,0,1,[1.531],1.531,1.531
INT,0,1,2,[2.377],2.377,2.377
INT,0,2,3,[1.67622222],1.6762222222222225,2.377
INT,0,3,4,[2.15330435],2.153304347826087,2.377
INT,0,4,5,[1.59566667],1.5956666666666666,2.377
INT,0,5,6,[2.43073077],2.43073076923077,2.43073076923077
INT,0,6,7,[3.65104682],3.6510468181818183,3.6510468181818183
INT,0,7,8,[2.432875],2.432875,3.6510468181818183
INT,0,8,9,[1.348],1.348,3.6510468181818183
INT,0,9,10,[2.9115],2.9115,3.6510468181818183
INT,0,10,11,[1.38],1.38,3.6510468181818183
INT,0,11,12,[4.],4.0,4.0
INT,0,12,13,[2.791],2.791,4.0
INT,0,13,14,[0.784],0.784,4.0
INT,0,14,15,[1.55],1.55,4.0
INT,0,15,16,[2.4075],2.4075,4.0
INT,0,16,17,[1.399],1.399,4.0
INT,0,17,18,[1.62233333],1.6223333333333334,4.0
INT,0,18,19,[1.412875],1.412875,4.0
INT,0,19,20,[2.15126667],2.1512666666666664,4.0
INT,0,20,21,[0.81266667],0.8126666666666668,4.0
INT,0,21,22,[1.802125],1.802125,4.0
INT,0,22,23,[2.788375],2.788375,4.0
INT,0,23,24,[2.8985],2.8985,4.0
INT,0,24,25,[2.07504762],2.075047619047619,4.0
INT,0,25,26,[4.145804],4.145804,4.145804
INT,0,26,27,[1.67922581],1.6792258064516128,4.145804
INT,0,27,28,[2.10209804],2.102098039215686,4.145804
INT,0,28,29,[1.058],1.058,4.145804
INT,0,29,30,[4.361],4.361,4.361
INT,0,30,31,[3.82421571],3.8242157142857143,4.361
INT,0,31,32,[3.12969231],3.1296923076923076,4.361
INT,0,32,33,[0.6215],0.6214999999999999,4.361
INT,0,33,34,[1.816],1.816,4.361
INT,0,34,35,[5.00001],5.00001,5.00001
INT,0,35,36,[2.21938095],2.2193809523809525,5.00001
INT,0,36,37,[1.61088889],1.6108888888888888,5.00001
INT,0,37,38,[0.71333333],0.7133333333333334,5.00001
INT,0,38,39,[3.13144444],3.1314444444444445,5.00001
INT,0,39,40,[1.6307],1.6306999999999998,5.00001
INT,0,40,41,[3.08842308],3.0884230769230774,5.00001
INT,0,41,42,[1.9834],1.9834,5.00001
INT,0,42,43,[0.78226316],0.7822631578947368,5.00001
INT,0,43,44,[4.25341792],4.253417916666667,5.00001
INT,0,44,45,[3.7328024],3.7328024,5.00001
INT,0,45,46,[2.20004545],2.2000454545454544,5.00001
INT,0,46,47,[0.953],0.953,5.00001
INT,0,47,48,[2.88916833],2.8891683333333336,5.00001
INT,0,48,49,[1.534],1.534,5.00001
INT,0,49,50,[1.06966667],1.0696666666666668,5.00001
Random,0,0,1,[1.856],1.856,1.856
Random,0,1,2,[0.6000625],0.6000624999999999,1.856
Random,0,2,3,[3.654],3.654,3.654
Random,0,3,4,[4.94554267],4.945542666666666,4.945542666666666
Random,0,4,5,[3.69800231],3.698002307692308,4.945542666666666
Random,0,5,6,[0.8144],0.8144,4.945542666666666
Random,0,6,7,[4.28015846],4.280158461538462,4.945542666666666
Random,0,7,8,[0.70872727],0.7087272727272728,4.945542666666666
Random,0,8,9,[0.739625],0.739625,4.945542666666666
Random,0,9,10,[2.76566667],2.7656666666666667,4.945542666666666
Random,0,10,11,[1.1395],1.1395,4.945542666666666
Random,0,11,12,[0.63616667],0.6361666666666667,4.945542666666666
Random,0,12,13,[2.59375125],2.59375125,4.945542666666666
Random,0,13,14,[0.6022],0.6022000000000001,4.945542666666666
Random,0,14,15,[2.952],2.952,4.945542666666666
Random,0,15,16,[3.23864357],3.2386435714285713,4.945542666666666
Random,0,16,17,[1.1705],1.1705,4.945542666666666
Random,0,17,18,[1.12725],1.12725,4.945542666666666
Random,0,18,19,[0.55813043],0.5581304347826087,4.945542666666666
Random,0,19,20,[0.535],0.535,4.945542666666666
Random,0,20,21,[3.2485505],3.2485505000000003,4.945542666666666
Random,0,21,22,[0.56133333],0.5613333333333334,4.945542666666666
Random,0,22,23,[1.93663889],1.9366388888888888,4.945542666666666
Random,0,23,24,[2.79748571],2.7974857142857146,4.945542666666666
Random,0,24,25,[1.402],1.402,4.945542666666666
Random,0,25,26,[1.57375],1.57375,4.945542666666666
Random,0,26,27,[0.963],0.963,4.945542666666666
Random,0,27,28,[0.875],0.875,4.945542666666666
Random,0,28,29,[0.713375],0.713375,4.945542666666666
Random,0,29,30,[3.054202],3.054202,4.945542666666666
Random,0,30,31,[1.891],1.891,4.945542666666666
Random,0,31,32,[0.863],0.863,4.945542666666666
Random,0,32,33,[4.325005],4.325005,4.945542666666666
Random,0,33,34,[0.99422222],0.9942222222222222,4.945542666666666
Random,0,34,35,[2.19],2.19,4.945542666666666
Random,0,35,36,[2.55623437],2.556234375,4.945542666666666
Random,0,36,37,[2.06429032],2.064290322580645,4.945542666666666
Random,0,37,38,[2.2184],2.2184,4.945542666666666
Random,0,38,39,[1.862],1.862,4.945542666666666
Random,0,39,40,[0.83016667],0.8301666666666666,4.945542666666666
Random,0,40,41,[0.67409091],0.6740909090909091,4.945542666666666
Random,0,41,42,[0.62],0.62,4.945542666666666
Random,0,42,43,[0.9657619],0.9657619047619048,4.945542666666666
Random,0,43,44,[2.42547619],2.4254761904761906,4.945542666666666
Random,0,44,45,[0.8615],0.8614999999999999,4.945542666666666
Random,0,45,46,[0.528],0.528,4.945542666666666
Random,0,46,47,[1.10275],1.10275,4.945542666666666
Random,0,47,48,[4.03675],4.03675,4.945542666666666
Random,0,48,49,[0.8226],0.8225999999999999,4.945542666666666
Random,0,49,50,[1.325],1.325,4.945542666666666
Latitude-Longitude,1,0,1,[2.68022278],2.680222777777778,2.680222777777778
Latitude-Longitude,1,1,2,[0.987],0.987,2.680222777777778
Latitude-Longitude,1,2,3,[0.669],0.669,2.680222777777778
Latitude-Longitude,1,3,4,[0.283],0.283,2.680222777777778
Latitude-Longitude,1,4,5,[0.725],0.725,2.680222777777778
Latitude-Longitude,1,5,6,[4.03675],4.03675,4.03675
Latitude-Longitude,1,6,7,[1.54566667],1.5456666666666663,4.03675
Latitude-Longitude,1,7,8,[0.775],0.775,4.03675
Latitude-Longitude,1,8,9,[2.954],2.954,4.03675
Latitude-Longitude,1,9,10,[3.638],3.638,4.03675
Latitude-Longitude,1,10,11,[1.092],1.092,4.03675
Latitude-Longitude,1,11,12,[4.39385857],4.393858571428572,4.393858571428572
Latitude-Longitude,1,12,13,[1.18],1.18,4.393858571428572
Latitude-Longitude,1,13,14,[0.45],0.45,4.393858571428572
Latitude-Longitude,1,14,15,[4.68],4.68,4.68
Latitude-Longitude,1,15,16,[4.5435025],4.5435025,4.68
Latitude-Longitude,1,16,17,[3.6655],3.6655,4.68
Latitude-Longitude,1,17,18,[2.64744],2.6474399999999996,4.68
Latitude-Longitude,1,18,19,[4.563],4.563,4.68
Latitude-Longitude,1,19,20,[3.194],3.194,4.68
Latitude-Longitude,1,20,21,[2.82566667],2.8256666666666668,4.68
Latitude-Longitude,1,21,22,[3.998],3.998,4.68
Latitude-Longitude,1,22,23,[3.4958],3.4958,4.68
Latitude-Longitude,1,23,24,[2.232],2.232,4.68
Latitude-Longitude,1,24,25,[3.68],3.68,4.68
Latitude-Longitude,1,25,26,[2.4075],2.4075,4.68
Latitude-Longitude,1,26,27,[2.7226005],2.7226005,4.68
Latitude-Longitude,1,27,28,[2.777],2.777,4.68
Latitude-Longitude,1,28,29,[0.953],0.953,4.68
Latitude-Longitude,1,29,30,[1.896],1.896,4.68
Latitude-Longitude,1,30,31,[2.75028571],2.750285714285714,4.68
Latitude-Longitude,1,31,32,[2.61706667],2.6170666666666667,4.68
Latitude-Longitude,1,32,33,[3.50225],3.50225,4.68
Latitude-Longitude,1,33,34,[3.3594375],3.3594375,4.68
Latitude-Longitude,1,34,35,[1.56788889],1.5678888888888889,4.68
Latitude-Longitude,1,35,36,[1.154],1.154,4.68
Latitude-Longitude,1,36,37,[5.00001],5.00001,5.00001
Latitude-Longitude,1,37,38,[2.8],2.8,5.00001
Latitude-Longitude,1,38,39,[3.77009182],3.770091818181818,5.00001
Latitude-Longitude,1,39,40,[2.306],2.306,5.00001
Latitude-Longitude,1,40,41,[2.326],2.326,5.00001
Latitude-Longitude,1,41,42,[5.00001],5.00001,5.00001
Latitude-Longitude,1,42,43,[1.344],1.344,5.00001
Latitude-Longitude,1,43,44,[5.00001],5.00001,5.00001
Latitude-Longitude,1,44,45,[4.53211444],4.532114444444444,5.00001
Latitude-Longitude,1,45,46,[4.91665214],4.916652142857143,5.00001
Latitude-Longitude,1,46,47,[4.217502],4.217502,5.00001
Latitude-Longitude,1,47,48,[1.393],1.393,5.00001
Latitude-Longitude,1,48,49,[5.00001],5.00001,5.00001
Latitude-Longitude,1,49,50,[3.417001],3.417001,5.00001
OHE,1,0,1,[2.326625],2.326625,2.326625
OHE,1,1,2,[0.749],0.749,2.326625
OHE,1,2,3,[1.],1.0,2.326625
OHE,1,3,4,[1.14541667],1.1454166666666663,2.326625
OHE,1,4,5,[3.62666667],3.626666666666667,3.626666666666667
OHE,1,5,6,[3.50225],3.50225,3.626666666666667
OHE,1,6,7,[1.86561765],1.8656176470588235,3.626666666666667
OHE,1,7,8,[3.06507286],3.065072857142858,3.626666666666667
OHE,1,8,9,[3.61500333],3.6150033333333336,3.626666666666667
OHE,1,9,10,[1.81266667],1.8126666666666664,3.626666666666667
OHE,1,10,11,[2.26],2.26,3.626666666666667
OHE,1,11,12,[0.9765],0.9765,3.626666666666667
OHE,1,12,13,[1.554875],1.554875,3.626666666666667
OHE,1,13,14,[1.79233333],1.7923333333333336,3.626666666666667
OHE,1,14,15,[1.75873684],1.758736842105263,3.626666666666667
OHE,1,15,16,[1.91433333],1.9143333333333337,3.626666666666667
OHE,1,16,17,[2.56410345],2.564103448275862,3.626666666666667
OHE,1,17,18,[1.0935],1.0935,3.626666666666667
OHE,1,18,19,[2.08766667],2.087666666666667,3.626666666666667
OHE,1,19,20,[1.389],1.389,3.626666666666667
OHE,1,20,21,[0.581],0.581,3.626666666666667
OHE,1,21,22,[0.741],0.7410000000000001,3.626666666666667
OHE,1,22,23,[0.8805],0.8805000000000001,3.626666666666667
OHE,1,23,24,[1.293],1.293,3.626666666666667
OHE,1,24,25,[1.79916667],1.7991666666666666,3.626666666666667
OHE,1,25,26,[0.627],0.627,3.626666666666667
OHE,1,26,27,[0.477],0.477,3.626666666666667
OHE,1,27,28,[3.434],3.434,3.626666666666667
OHE,1,28,29,[1.85073077],1.8507307692307693,3.626666666666667
OHE,1,29,30,[2.792],2.792,3.626666666666667
OHE,1,30,31,[0.792],0.792,3.626666666666667
OHE,1,31,32,[1.393],1.393,3.626666666666667
OHE,1,32,33,[0.9375],0.9375,3.626666666666667
OHE,1,33,34,[1.9485],1.9485,3.626666666666667
OHE,1,34,35,[0.657],0.657,3.626666666666667
