% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,9,4,10,"[28.65, 20.87]",28.65,28.65,
0,9,5,12,"[31.97, 19.51]",31.97,31.97,
0,9,6,14,"[23.22, 0.0]",23.22,31.97,
0,9,7,16,"[5.3, 19.39]",19.39,31.97,
0,9,8,18,"[28.93, 2.99]",28.93,31.97,
0,9,9,20,"[37.36, 16.44]",37.36,37.36,
0,10,0,2,"[0.0, 0.0]",0.0,0.0,
0,10,1,4,"[8.89, 0.0]",8.89,8.89,
0,10,2,6,"[11.69, 8.06]",11.69,11.69,
0,10,3,8,"[7.03, 70.26]",70.26,70.26,
0,10,4,10,"[0.0, 75.12]",75.12,75.12,
0,10,5,12,"[67.63, 7.82]",67.63,75.12,
0,10,6,14,"[16.47, 5.03]",16.47,75.12,
0,10,7,16,"[13.46, 83.22]",83.22,83.22,
0,10,8,18,"[13.19, 81.63]",81.63,83.22,
0,10,9,20,"[87.59, 75.22]",87.59,87.59,
0,11,0,2,"[0.0, 26.28]",26.28,26.28,
0,11,1,4,"[13.75, 26.88]",26.88,26.88,
0,11,2,6,"[31.38, 2.55]",31.38,31.38,
0,11,3,8,"[25.08, 9.6]",25.08,31.38,
0,11,4,10,"[14.58, 21.46]",21.46,31.38,
0,11,5,12,"[76.02, 24.25]",76.02,76.02,
0,11,6,14,"[60.48, 62.32]",62.32,76.02,
0,11,7,16,"[29.06, 73.59]",73.59,76.02,
0,11,8,18,"[9.59, 49.17]",49.17,76.02,
0,11,9,20,"[15.42, 10.34]",15.42,76.02,
0,12,0,2,"[0.0, 56.45]",56.45,56.45,
0,12,1,4,"[50.79, 0.0]",50.79,56.45,
0,12,2,6,"[48.15, 22.06]",48.15,56.45,
0,12,3,8,"[50.93, 55.41]",55.41,56.45,
0,12,4,10,"[68.53, 56.57]",68.53,68.53,
0,12,5,12,"[45.95, 83.83]",83.83,83.83,
0,12,6,14,"[86.37, 47.3]",86.37,86.37,
0,12,7,16,"[86.43, 5.3]",86.43,86.43,
0,12,8,18,"[59.92, 73.71]",73.71,86.43,
0,12,9,20,"[28.11, 2.79]",28.11,86.43,
0,13,0,2,"[10.44, 4.28]",10.44,10.44,
0,13,1,4,"[12.83, 0.0]",12.83,12.83,
0,13,2,6,"[1.71, 44.53]",44.53,44.53,
0,13,3,8,"[24.56, 27.93]",27.93,44.53,
0,13,4,10,"[2.98, 3.8]",3.8,44.53,
0,13,5,12,"[47.58, 84.81]",84.81,84.81,
0,13,6,14,"[80.61, 87.83]",87.83,87.83,
0,13,7,16,"[29.16, 65.37]",65.37,87.83,
0,13,8,18,"[77.41, 84.17]",84.17,87.83,
0,13,9,20,"[86.43, 4.74]",86.43,87.83,
0,14,0,2,"[0.0, 0.0]",0.0,0.0,
0,14,1,4,"[7.03, 1.37]",7.03,7.03,
0,14,2,6,"[8.31, 5.36]",8.31,8.31,
0,14,3,8,"[8.89, 67.63]",67.63,67.63,
0,14,4,10,"[75.22, 13.46]",75.22,75.22,
0,14,5,12,"[16.92, 75.12]",75.12,75.22,
0,14,6,14,"[7.82, 41.0]",41.0,75.22,
0,14,7,16,"[20.08, 5.03]",20.08,75.22,
0,14,8,18,"[83.22, 87.59]",87.59,87.59,
0,14,9,20,"[81.63, 89.76]",89.76,89.76,
0,15,0,2,"[21.42, 12.83]",21.42,21.42,
0,15,1,4,"[28.93, 21.25]",28.93,28.93,
0,15,2,6,"[16.44, 25.35]",25.35,28.93,
0,15,3,8,"[37.36, 67.17]",67.17,67.17,
0,15,4,10,"[44.74, 67.17]",67.17,67.17,
0,15,5,12,"[43.76, 36.98]",43.76,67.17,
0,15,6,14,"[59.27, 84.81]",84.81,84.81,
0,15,7,16,"[84.17, 88.41]",88.41,88.41,
0,15,8,18,"[77.41, 38.03]",77.41,88.41,
0,15,9,20,"[87.83, 22.94]",87.83,88.41,
0,16,0,2,"[2.69, 8.89]",8.89,8.89,
0,16,1,4,"[7.8, 8.31]",8.31,8.89,
0,16,2,6,"[11.69, 13.46]",13.46,13.46,
0,16,3,8,"[50.54, 67.63]",67.63,67.63,
0,16,4,10,"[75.12, 16.92]",75.12,75.12,
0,16,5,12,"[75.22, 7.82]",75.22,75.22,
0,16,6,14,"[41.0, 20.08]",41.0,75.22,
0,16,7,16,"[70.26, 5.03]",70.26,75.22,
0,16,8,18,"[45.87, 83.22]",83.22,83.22,
0,16,9,20,"[80.38, 87.59]",87.59,87.59,
0,17,0,2,"[0.0, 0.0]",0.0,0.0,
0,17,1,4,"[3.1, 13.19]",13.19,13.19,
0,17,2,6,"[39.55, 80.38]",80.38,80.38,
0,17,3,8,"[83.22, 83.25]",83.25,83.25,
0,17,4,10,"[81.63, 87.59]",87.59,87.59,
0,17,5,12,"[91.11, 42.62]",91.11,91.11,
0,17,6,14,"[89.76, 83.85]",89.76,91.11,
0,17,7,16,"[20.03, 45.17]",45.17,91.11,
0,17,8,18,"[13.78, 17.93]",17.93,91.11,
0,17,9,20,"[70.51, 0.26]",70.51,91.11,
0,18,0,2,"[0.0, 17.93]",17.93,17.93,
0,18,1,4,"[26.74, 24.59]",26.74,26.74,
0,18,2,6,"[57.84, 83.85]",83.85,83.85,
0,18,3,8,"[87.59, 75.28]",87.59,87.59,
0,18,4,10,"[81.63, 49.17]",81.63,87.59,
0,18,5,12,"[13.19, 62.73]",62.73,87.59,
0,18,6,14,"[8.21, 88.82]",88.82,88.82,
0,18,7,16,"[70.51, 67.57]",70.51,88.82,
0,18,8,18,"[91.11, 82.33]",91.11,91.11,
0,18,9,20,"[71.57, 40.61]",71.57,91.11,
0,19,0,2,"[0.0, 7.62]",7.62,7.62,
0,19,1,4,"[29.31, 15.16]",29.31,29.31,
0,19,2,6,"[78.95, 17.74]",78.95,78.95,
0,19,3,8,"[82.09, 47.03]",82.09,82.09,
0,19,4,10,"[5.69, 0.0]",5.69,82.09,
0,19,5,12,"[10.51, 88.41]",88.41,88.41,
0,19,6,14,"[38.03, 84.81]",84.81,88.41,
0,19,7,16,"[80.61, 5.03]",80.61,88.41,
0,19,8,18,"[48.15, 67.04]",67.04,88.41,
0,19,9,20,"[44.74, 25.5]",44.74,88.41,
0,20,0,2,"[3.7, 2.06]",3.7,3.7,
0,20,1,4,"[0.0, 86.46]",86.46,86.46,
0,20,2,6,"[63.13, 74.04]",74.04,86.46,
0,20,3,8,"[87.32, 4.23]",87.32,87.32,
0,20,4,10,"[76.33, 82.09]",82.09,87.32,
0,20,5,12,"[17.43, 47.03]",47.03,87.32,
0,20,6,14,"[62.82, 88.41]",88.41,88.41,
0,20,7,16,"[38.03, 80.61]",80.61,88.41,
0,20,8,18,"[84.81, 5.03]",84.81,88.41,
0,20,9,20,"[73.71, 67.04]",73.71,88.41,
0,21,0,2,"[0.0, 11.69]",11.69,11.69,
0,21,1,4,"[8.98, 8.31]",8.98,11.69,
0,21,2,6,"[8.89, 70.26]",70.26,70.26,
0,21,3,8,"[3.51, 67.63]",67.63,70.26,
0,21,4,10,"[13.46, 75.12]",75.12,75.12,
0,21,5,12,"[75.22, 7.82]",75.22,75.22,
0,21,6,14,"[20.08, 5.03]",20.08,75.22,
0,21,7,16,"[41.0, 83.22]",83.22,83.22,
0,21,8,18,"[80.38, 87.59]",87.59,87.59,
