% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1337,0,2,"[2.13, 20.87]",20.87,20.87,
0,1337,1,4,"[3.14, 5.03]",5.03,20.87,
0,1337,2,6,"[5.95, 7.71]",7.71,20.87,
0,1337,3,8,"[4.3, 88.89]",88.89,88.89,
0,1337,4,10,"[82.09, 76.59]",82.09,88.89,
0,1337,5,12,"[66.84, 6.22]",66.84,88.89,
0,1337,6,14,"[74.04, 55.96]",74.04,88.89,
0,1337,7,16,"[60.48, 12.34]",60.48,88.89,
0,1337,8,18,"[75.12, 68.17]",75.12,88.89,
0,1337,9,20,"[5.65, 5.15]",5.65,88.89,
0,1338,0,2,"[16.64, 99.81]",99.81,99.81,
0,1338,1,4,"[3.14, 5.03]",5.03,99.81,
0,1338,2,6,"[5.95, 2.13]",5.95,99.81,
0,1338,3,8,"[7.71, 4.3]",7.71,99.81,
0,1338,4,10,"[92.19, 45.73]",92.19,99.81,
0,1338,5,12,"[87.59, 44.47]",87.59,99.81,
0,1338,6,14,"[99.22, 68.17]",99.22,99.81,
0,1338,7,16,"[98.38, 81.63]",98.38,99.81,
0,1338,8,18,"[13.88, 99.98]",99.98,99.98,
0,1338,9,20,"[80.86, 71.81]",80.86,99.98,
0,1339,0,2,"[0.0, 45.73]",45.73,45.73,
0,1339,1,4,"[3.14, 5.03]",5.03,45.73,
0,1339,2,6,"[5.95, 2.13]",5.95,45.73,
0,1339,3,8,"[7.71, 4.3]",7.71,45.73,
0,1339,4,10,"[52.47, 26.69]",52.47,52.47,
0,1339,5,12,"[80.86, 51.37]",80.86,80.86,
0,1339,6,14,"[3.04, 67.57]",67.57,80.86,
0,1339,7,16,"[80.65, 99.98]",99.98,99.98,
0,1339,8,18,"[8.82, 71.81]",71.81,99.98,
0,1339,9,20,"[88.82, 91.19]",91.19,99.98,
0,1340,0,2,"[10.49, 2.35]",10.49,10.49,
0,1340,1,4,"[3.14, 5.03]",5.03,10.49,
0,1340,2,6,"[5.95, 2.13]",5.95,10.49,
0,1340,3,8,"[7.71, 4.3]",7.71,10.49,
0,1340,4,10,"[88.89, 82.09]",88.89,88.89,
0,1340,5,12,"[66.84, 0.15]",66.84,88.89,
0,1340,6,14,"[55.96, 68.33]",68.33,88.89,
0,1340,7,16,"[32.21, 0.0]",32.21,88.89,
0,1340,8,18,"[45.85, 96.64]",96.64,96.64,
0,1340,9,20,"[83.22, 95.48]",95.48,96.64,
0,1341,0,2,"[0.0, 84.49]",84.49,84.49,
0,1341,1,4,"[3.14, 5.03]",5.03,84.49,
0,1341,2,6,"[5.95, 2.13]",5.95,84.49,
0,1341,3,8,"[7.71, 4.3]",7.71,84.49,
0,1341,4,10,"[88.89, 82.09]",88.89,88.89,
0,1341,5,12,"[66.84, 17.43]",66.84,88.89,
0,1341,6,14,"[76.59, 18.38]",76.59,88.89,
0,1341,7,16,"[6.22, 5.69]",6.22,88.89,
0,1341,8,18,"[84.81, 48.34]",84.81,88.89,
0,1341,9,20,"[24.56, 11.91]",24.56,88.89,
0,1342,0,2,"[11.83, 51.37]",51.37,51.37,
0,1342,1,4,"[3.14, 5.03]",5.03,51.37,
0,1342,2,6,"[5.95, 2.13]",5.95,51.37,
0,1342,3,8,"[7.71, 4.3]",7.71,51.37,
0,1342,4,10,"[42.62, 62.33]",62.33,62.33,
0,1342,5,12,"[99.98, 53.61]",99.98,99.98,
0,1342,6,14,"[50.74, 71.81]",71.81,99.98,
0,1342,7,16,"[80.86, 1.89]",80.86,99.98,
0,1342,8,18,"[8.82, 91.19]",91.19,99.98,
0,1342,9,20,"[60.29, 19.13]",60.29,99.98,
0,1343,0,2,"[21.25, 0.0]",21.25,21.25,
0,1343,1,4,"[3.14, 5.03]",5.03,21.25,
0,1343,2,6,"[5.95, 2.13]",5.95,21.25,
0,1343,3,8,"[7.71, 4.3]",7.71,21.25,
0,1343,4,10,"[88.89, 82.09]",88.89,88.89,
0,1343,5,12,"[55.96, 66.84]",66.84,88.89,
0,1343,6,14,"[8.52, 6.22]",8.52,88.89,
0,1343,7,16,"[45.01, 32.21]",45.01,88.89,
0,1343,8,18,"[45.85, 89.71]",89.71,89.71,
0,1343,9,20,"[87.32, 84.64]",87.32,89.71,
0,1344,0,2,"[0.0, 37.73]",37.73,37.73,
0,1344,1,4,"[3.14, 5.03]",5.03,37.73,
0,1344,2,6,"[5.95, 2.13]",5.95,37.73,
0,1344,3,8,"[7.71, 4.3]",7.71,37.73,
0,1344,4,10,"[88.89, 82.09]",88.89,88.89,
0,1344,5,12,"[66.84, 6.22]",66.84,88.89,
0,1344,6,14,"[55.96, 68.33]",68.33,88.89,
0,1344,7,16,"[32.21, 5.69]",32.21,88.89,
0,1344,8,18,"[45.85, 86.46]",86.46,88.89,
0,1344,9,20,"[79.1, 76.33]",79.1,88.89,
0,1345,0,2,"[4.87, 84.67]",84.67,84.67,
0,1345,1,4,"[3.14, 5.03]",5.03,84.67,
0,1345,2,6,"[5.95, 2.13]",5.95,84.67,
0,1345,3,8,"[7.71, 4.3]",7.71,84.67,
0,1345,4,10,"[88.89, 82.09]",88.89,88.89,
0,1345,5,12,"[76.59, 18.38]",76.59,88.89,
0,1345,6,14,"[55.96, 66.84]",66.84,88.89,
0,1345,7,16,"[80.39, 0.15]",80.39,88.89,
0,1345,8,18,"[24.56, 11.91]",24.56,88.89,
0,1345,9,20,"[84.49, 48.91]",84.49,88.89,
0,1346,0,2,"[52.47, 3.33]",52.47,52.47,
0,1346,1,4,"[3.14, 5.03]",5.03,52.47,
0,1346,2,6,"[5.95, 2.13]",5.95,52.47,
0,1346,3,8,"[7.71, 4.3]",7.71,52.47,
0,1346,4,10,"[88.89, 82.09]",88.89,88.89,
0,1346,5,12,"[55.96, 6.22]",55.96,88.89,
0,1346,6,14,"[66.84, 62.6]",66.84,88.89,
0,1346,7,16,"[83.22, 5.69]",83.22,88.89,
0,1346,8,18,"[98.38, 87.59]",98.38,98.38,
0,1346,9,20,"[99.81, 99.22]",99.81,99.81,
0,1347,0,2,"[23.81, 30.02]",30.02,30.02,
0,1347,1,4,"[3.14, 5.03]",5.03,30.02,
0,1347,2,6,"[5.95, 2.13]",5.95,30.02,
0,1347,3,8,"[7.71, 4.3]",7.71,30.02,
0,1347,4,10,"[12.14, 33.65]",33.65,33.65,
0,1347,5,12,"[25.67, 22.87]",25.67,33.65,
0,1347,6,14,"[13.52, 1.23]",13.52,33.65,
0,1347,7,16,"[42.63, 66.9]",66.9,66.9,
0,1347,8,18,"[50.55, 43.18]",50.55,66.9,
0,1347,9,20,"[27.8, 43.05]",43.05,66.9,
0,1348,0,2,"[88.82, 0.0]",88.82,88.82,
0,1348,1,4,"[3.14, 5.03]",5.03,88.82,
0,1348,2,6,"[5.95, 2.13]",5.95,88.82,
0,1348,3,8,"[7.71, 4.3]",7.71,88.82,
0,1348,4,10,"[80.86, 71.57]",80.86,88.82,
0,1348,5,12,"[76.66, 99.98]",99.98,99.98,
0,1348,6,14,"[30.17, 62.33]",62.33,99.98,
0,1348,7,16,"[8.82, 1.89]",8.82,99.98,
0,1348,8,18,"[92.19, 91.19]",92.19,99.98,
0,1348,9,20,"[99.22, 19.13]",99.22,99.98,
0,1349,0,2,"[4.3, 18.22]",18.22,18.22,
0,1349,1,4,"[3.14, 5.03]",5.03,18.22,
0,1349,2,6,"[5.95, 2.13]",5.95,18.22,
0,1349,3,8,"[7.71, 88.89]",88.89,88.89,
0,1349,4,10,"[82.09, 66.84]",82.09,88.89,
0,1349,5,12,"[8.52, 6.22]",8.52,88.89,
0,1349,6,14,"[55.96, 68.33]",68.33,88.89,
0,1349,7,16,"[32.21, 9.96]",32.21,88.89,
0,1349,8,18,"[45.85, 89.71]",89.71,89.71,
0,1349,9,20,"[87.32, 84.64]",87.32,89.71,
0,1350,0,2,"[19.02, 70.26]",70.26,70.26,
0,1350,1,4,"[3.14, 5.03]",5.03,70.26,
0,1350,2,6,"[5.95, 2.13]",5.95,70.26,
0,1350,3,8,"[7.71, 4.3]",7.71,70.26,
0,1350,4,10,"[5.65, 6.73]",6.73,70.26,
0,1350,5,12,"[88.89, 82.09]",88.89,88.89,
0,1350,6,14,"[55.96, 66.84]",66.84,88.89,
0,1350,7,16,"[89.14, 0.15]",89.14,89.14,
0,1350,8,18,"[75.12, 82.13]",82.13,89.14,
0,1350,9,20,"[45.85, 62.04]",62.04,89.14,
0,1351,0,2,"[0.0, 0.0]",0.0,0.0,
0,1351,1,4,"[23.23, 0.0]",23.23,23.23,
0,1351,2,6,"[3.14, 5.03]",5.03,23.23,
0,1351,3,8,"[5.95, 2.13]",5.95,23.23,
