% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1337,0,2,"[10.44, 87.83]",87.83,87.83,
0,1337,1,4,"[36.32, 0.0]",36.32,87.83,
0,1337,2,6,"[57.33, 28.74]",57.33,87.83,
0,1337,3,8,"[71.97, 75.39]",75.39,87.83,
0,1337,4,10,"[5.49, 43.2]",43.2,87.83,
0,1337,5,12,"[5.06, 4.2]",5.06,87.83,
0,1337,6,14,"[0.0, 76.63]",76.63,87.83,
0,1337,7,16,"[5.45, 54.41]",54.41,87.83,
0,1337,8,18,"[0.0, 72.89]",72.89,87.83,
0,1337,9,20,"[89.17, 81.66]",89.17,89.17,
0,1338,0,2,"[13.19, 5.85]",13.19,13.19,
0,1338,1,4,"[32.74, 2.65]",32.74,32.74,
0,1338,2,6,"[0.0, 3.13]",3.13,32.74,
0,1338,3,8,"[63.88, 20.5]",63.88,63.88,
0,1338,4,10,"[5.49, 7.61]",7.61,63.88,
0,1338,5,12,"[71.97, 55.96]",71.97,71.97,
0,1338,6,14,"[53.46, 9.52]",53.46,71.97,
0,1338,7,16,"[31.85, 52.56]",52.56,71.97,
0,1338,8,18,"[44.25, 0.0]",44.25,71.97,
0,1338,9,20,"[32.04, 11.77]",32.04,71.97,
0,1339,0,2,"[91.06, 49.19]",91.06,91.06,
0,1339,1,4,"[24.55, 0.0]",24.55,91.06,
0,1339,2,6,"[11.52, 5.59]",11.52,91.06,
0,1339,3,8,"[17.45, 22.88]",22.88,91.06,
0,1339,4,10,"[7.33, 34.47]",34.47,91.06,
0,1339,5,12,"[0.0, 17.0]",17.0,91.06,
0,1339,6,14,"[0.0, 16.91]",16.91,91.06,
0,1339,7,16,"[13.13, 7.12]",13.13,91.06,
0,1339,8,18,"[0.0, 0.0]",0.0,91.06,
0,1339,9,20,"[11.18, 24.59]",24.59,91.06,
0,1340,0,2,"[0.0, 55.96]",55.96,55.96,
0,1340,1,4,"[1.95, 10.93]",10.93,55.96,
0,1340,2,6,"[14.53, 100.0]",100.0,100.0,
0,1340,3,8,"[6.54, 13.02]",13.02,100.0,
0,1340,4,10,"[87.0, 91.06]",91.06,100.0,
0,1340,5,12,"[98.49, 91.39]",98.49,100.0,
0,1340,6,14,"[0.0, 50.69]",50.69,100.0,
0,1340,7,16,"[90.39, 84.03]",90.39,100.0,
0,1340,8,18,"[9.52, 69.2]",69.2,100.0,
0,1340,9,20,"[100.0, 36.66]",100.0,100.0,
0,1341,0,2,"[0.0, 0.0]",0.0,0.0,
0,1341,1,4,"[2.72, 0.0]",2.72,2.72,
0,1341,2,6,"[21.65, 3.13]",21.65,21.65,
0,1341,3,8,"[10.13, 7.12]",10.13,21.65,
0,1341,4,10,"[84.03, 13.13]",84.03,84.03,
0,1341,5,12,"[100.0, 36.73]",100.0,100.0,
0,1341,6,14,"[90.39, 0.0]",90.39,100.0,
0,1341,7,16,"[98.49, 91.39]",98.49,100.0,
0,1341,8,18,"[87.0, 100.0]",100.0,100.0,
0,1341,9,20,"[91.11, 50.69]",91.11,100.0,
0,1342,0,2,"[6.15, 0.0]",6.15,6.15,
0,1342,1,4,"[20.05, 0.0]",20.05,20.05,
0,1342,2,6,"[36.66, 10.04]",36.66,36.66,
0,1342,3,8,"[5.62, 53.52]",53.52,53.52,
0,1342,4,10,"[36.73, 22.88]",36.73,53.52,
0,1342,5,12,"[96.38, 13.99]",96.38,96.38,
0,1342,6,14,"[0.0, 0.0]",0.0,96.38,
0,1342,7,16,"[100.0, 41.64]",100.0,100.0,
0,1342,8,18,"[43.84, 91.39]",91.39,100.0,
0,1342,9,20,"[7.34, 91.06]",91.06,100.0,
0,1343,0,2,"[0.0, 16.51]",16.51,16.51,
0,1343,1,4,"[20.5, 0.0]",20.5,20.5,
0,1343,2,6,"[2.72, 6.88]",6.88,20.5,
0,1343,3,8,"[26.3, 4.39]",26.3,26.3,
0,1343,4,10,"[2.62, 43.22]",43.22,43.22,
0,1343,5,12,"[0.0, 11.18]",11.18,43.22,
0,1343,6,14,"[54.55, 28.4]",54.55,54.55,
0,1343,7,16,"[37.58, 23.57]",37.58,54.55,
0,1343,8,18,"[28.02, 0.0]",28.02,54.55,
0,1343,9,20,"[61.09, 38.68]",61.09,61.09,
0,1344,0,2,"[3.13, 98.49]",98.49,98.49,
0,1344,1,4,"[44.4, 0.0]",44.4,98.49,
0,1344,2,6,"[0.0, 11.18]",11.18,98.49,
0,1344,3,8,"[64.12, 3.55]",64.12,98.49,
0,1344,4,10,"[14.19, 31.32]",31.32,98.49,
0,1344,5,12,"[30.41, 9.07]",30.41,98.49,
