% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,9,4,10,"[15.86, 10.66]",15.86,37.37,
0,9,5,12,"[18.95, 33.6]",33.6,37.37,
0,9,6,14,"[52.2, 25.64]",52.2,52.2,
0,9,7,16,"[26.88, 44.4]",44.4,52.2,
0,9,8,18,"[0.0, 14.99]",14.99,52.2,
0,9,9,20,"[22.3, 62.75]",62.75,62.75,
0,10,0,2,"[36.32, 18.95]",36.32,36.32,
0,10,1,4,"[23.51, 22.3]",23.51,36.32,
0,10,2,6,"[24.05, 6.77]",24.05,36.32,
0,10,3,8,"[28.02, 3.38]",28.02,36.32,
0,10,4,10,"[54.55, 6.26]",54.55,54.55,
0,10,5,12,"[48.64, 13.31]",48.64,54.55,
0,10,6,14,"[18.19, 75.4]",75.4,75.4,
0,10,7,16,"[69.11, 0.0]",69.11,75.4,
0,10,8,18,"[8.95, 27.79]",27.79,75.4,
0,10,9,20,"[44.28, 46.57]",46.57,75.4,
0,11,0,2,"[0.0, 14.72]",14.72,14.72,
0,11,1,4,"[5.38, 23.23]",23.23,23.23,
0,11,2,6,"[30.03, 0.0]",30.03,30.03,
0,11,3,8,"[10.34, 5.65]",10.34,30.03,
0,11,4,10,"[61.09, 2.49]",61.09,61.09,
0,11,5,12,"[84.03, 28.9]",84.03,84.03,
0,11,6,14,"[75.28, 65.32]",75.28,84.03,
0,11,7,16,"[18.93, 13.02]",18.93,84.03,
0,11,8,18,"[36.73, 17.45]",36.73,84.03,
0,11,9,20,"[0.97, 72.24]",72.24,84.03,
0,12,0,2,"[14.58, 13.85]",14.58,14.58,
0,12,1,4,"[16.28, 21.46]",21.46,21.46,
0,12,2,6,"[31.66, 21.65]",31.66,31.66,
0,12,3,8,"[37.37, 24.55]",37.37,37.37,
0,12,4,10,"[37.3, 2.29]",37.3,37.37,
0,12,5,12,"[10.66, 18.95]",18.95,37.37,
0,12,6,14,"[20.46, 26.29]",26.29,37.37,
0,12,7,16,"[52.2, 2.9]",52.2,52.2,
0,12,8,18,"[44.4, 26.88]",44.4,52.2,
0,12,9,20,"[33.6, 29.45]",33.6,52.2,
0,13,0,2,"[43.84, 52.23]",52.23,52.23,
0,13,1,4,"[51.32, 14.99]",51.32,52.23,
0,13,2,6,"[57.95, 62.75]",62.75,62.75,
0,13,3,8,"[65.32, 30.41]",65.32,65.32,
0,13,4,10,"[84.03, 14.68]",84.03,84.03,
0,13,5,12,"[61.09, 13.02]",61.09,84.03,
0,13,6,14,"[23.23, 0.97]",23.23,84.03,
0,13,7,16,"[3.55, 0.0]",3.55,84.03,
0,13,8,18,"[75.28, 19.99]",75.28,84.03,
0,13,9,20,"[36.73, 43.22]",43.22,84.03,
0,14,0,2,"[12.98, 20.04]",20.04,20.04,
0,14,1,4,"[23.22, 17.74]",23.22,23.22,
0,14,2,6,"[24.02, 25.31]",25.31,25.31,
0,14,3,8,"[25.67, 0.0]",25.67,25.67,
0,14,4,10,"[8.95, 0.0]",8.95,25.67,
0,14,5,12,"[3.55, 23.57]",23.57,25.67,
0,14,6,14,"[41.03, 38.68]",41.03,41.03,
0,14,7,16,"[17.92, 25.62]",25.62,41.03,
0,14,8,18,"[38.45, 1.65]",38.45,41.03,
0,14,9,20,"[38.12, 31.55]",38.12,41.03,
0,15,0,2,"[19.77, 12.39]",19.77,19.77,
0,15,1,4,"[24.02, 16.76]",24.02,24.02,
0,15,2,6,"[25.67, 9.79]",25.67,25.67,
0,15,3,8,"[3.55, 0.0]",3.55,25.67,
0,15,4,10,"[31.97, 8.95]",31.97,31.97,
0,15,5,12,"[25.31, 34.98]",34.98,34.98,
0,15,6,14,"[26.33, 53.43]",53.43,53.43,
0,15,7,16,"[22.31, 59.27]",59.27,59.27,
0,15,8,18,"[66.03, 84.17]",84.17,84.17,
0,15,9,20,"[86.14, 79.33]",86.14,86.14,
0,16,0,2,"[0.0, 8.88]",8.88,8.88,
0,16,1,4,"[23.75, 2.67]",23.75,23.75,
0,16,2,6,"[21.5, 28.74]",28.74,28.74,
0,16,3,8,"[61.94, 0.0]",61.94,61.94,
0,16,4,10,"[42.48, 17.54]",42.48,61.94,
0,16,5,12,"[68.86, 29.57]",68.86,68.86,
0,16,6,14,"[32.68, 62.34]",62.34,68.86,
0,16,7,16,"[61.71, 17.9]",61.71,68.86,
0,16,8,18,"[32.71, 30.83]",32.71,68.86,
0,16,9,20,"[23.45, 0.0]",23.45,68.86,
0,17,0,2,"[0.0, 0.0]",0.0,0.0,
0,17,1,4,"[6.73, 40.02]",40.02,40.02,
0,17,2,6,"[30.83, 69.11]",69.11,69.11,
0,17,3,8,"[75.4, 86.37]",86.37,86.37,
0,17,4,10,"[0.0, 28.02]",28.02,86.37,
0,17,5,12,"[72.9, 26.5]",72.9,86.37,
0,17,6,14,"[33.95, 48.64]",48.64,86.37,
0,17,7,16,"[36.72, 24.25]",36.72,86.37,
0,17,8,18,"[54.55, 0.0]",54.55,86.37,
0,17,9,20,"[39.5, 36.98]",39.5,86.37,
0,18,0,2,"[26.3, 20.04]",26.3,26.3,
0,18,1,4,"[44.4, 12.91]",44.4,44.4,
0,18,2,6,"[52.2, 18.95]",52.2,52.2,
0,18,3,8,"[5.7, 33.6]",33.6,52.2,
0,18,4,10,"[37.37, 0.0]",37.37,52.2,
0,18,5,12,"[26.56, 13.13]",26.56,52.2,
0,18,6,14,"[26.88, 30.03]",30.03,52.2,
0,18,7,16,"[0.66, 14.99]",14.99,52.2,
0,18,8,18,"[21.46, 12.98]",21.46,52.2,
0,18,9,20,"[2.49, 61.09]",61.09,61.09,
0,19,0,2,"[0.0, 36.72]",36.72,36.72,
0,19,1,4,"[29.57, 28.02]",29.57,36.72,
0,19,2,6,"[6.26, 21.15]",21.15,36.72,
0,19,3,8,"[37.58, 72.9]",72.9,72.9,
0,19,4,10,"[40.02, 26.5]",40.02,72.9,
0,19,5,12,"[86.37, 30.83]",86.37,86.37,
0,19,6,14,"[0.0, 0.0]",0.0,86.37,
0,19,7,16,"[69.11, 45.95]",69.11,86.37,
0,19,8,18,"[48.64, 79.33]",79.33,86.37,
0,19,9,20,"[84.17, 23.71]",84.17,86.37,
0,20,0,2,"[0.0, 26.56]",26.56,26.56,
0,20,1,4,"[37.37, 18.38]",37.37,37.37,
0,20,2,6,"[31.66, 10.13]",31.66,37.37,
0,20,3,8,"[33.6, 37.3]",37.3,37.37,
0,20,4,10,"[7.59, 52.2]",52.2,52.2,
0,20,5,12,"[44.4, 26.88]",44.4,52.2,
0,20,6,14,"[14.99, 0.85]",14.99,52.2,
0,20,7,16,"[25.0, 26.29]",26.29,52.2,
0,20,8,18,"[22.3, 61.09]",61.09,61.09,
0,20,9,20,"[84.03, 55.7]",84.03,84.03,
0,21,0,2,"[5.48, 3.43]",5.48,5.48,
0,21,1,4,"[6.77, 7.25]",7.25,7.25,
0,21,2,6,"[9.96, 7.12]",9.96,9.96,
0,21,3,8,"[9.32, 22.3]",22.3,22.3,
0,21,4,10,"[36.32, 16.57]",36.32,36.32,
0,21,5,12,"[24.05, 32.14]",32.14,36.32,
0,21,6,14,"[16.91, 28.02]",28.02,36.32,
0,21,7,16,"[37.58, 6.26]",37.58,37.58,
0,21,8,18,"[54.55, 29.23]",54.55,54.55,
0,21,9,20,"[75.4, 21.5]",75.4,75.4,
0,22,0,2,"[0.0, 15.92]",15.92,15.92,
0,22,1,4,"[40.04, 15.86]",40.04,40.04,
0,22,2,6,"[10.66, 18.95]",18.95,40.04,
0,22,3,8,"[24.55, 37.3]",37.3,40.04,
0,22,4,10,"[34.6, 29.45]",34.6,40.04,
0,22,5,12,"[33.6, 16.28]",33.6,40.04,
0,22,6,14,"[25.64, 44.4]",44.4,44.4,
