% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,9,4,10,"[43.84, 99.81]",99.81,100.0,
0,9,5,12,"[98.49, 100.0]",100.0,100.0,
0,9,6,14,"[92.19, 84.03]",92.19,100.0,
0,9,7,16,"[61.09, 32.43]",61.09,100.0,
0,9,8,18,"[62.33, 52.47]",62.33,100.0,
0,9,9,20,"[26.69, 45.73]",45.73,100.0,
0,10,0,2,"[0.0, 0.0]",0.0,0.0,
0,10,1,4,"[7.74, 13.34]",13.34,13.34,
0,10,2,6,"[10.46, 13.33]",13.33,13.34,
0,10,3,8,"[10.77, 7.88]",10.77,13.34,
0,10,4,10,"[12.77, 0.0]",12.77,13.34,
0,10,5,12,"[10.93, 9.96]",10.93,13.34,
0,10,6,14,"[6.73, 7.61]",7.61,13.34,
0,10,7,16,"[43.12, 11.24]",43.12,43.12,
0,10,8,18,"[0.97, 85.21]",85.21,85.21,
0,10,9,20,"[36.97, 63.88]",63.88,85.21,
0,11,0,2,"[0.0, 81.66]",81.66,81.66,
0,11,1,4,"[82.21, 49.48]",82.21,82.21,
0,11,2,6,"[25.35, 6.23]",25.35,82.21,
0,11,3,8,"[32.68, 17.16]",32.68,82.21,
0,11,4,10,"[46.57, 52.69]",52.69,82.21,
0,11,5,12,"[5.53, 57.68]",57.68,82.21,
0,11,6,14,"[53.11, 52.2]",53.11,82.21,
0,11,7,16,"[31.29, 44.4]",44.4,82.21,
0,11,8,18,"[5.7, 30.17]",30.17,82.21,
0,11,9,20,"[21.5, 24.56]",24.56,82.21,
0,12,0,2,"[0.0, 0.0]",0.0,0.0,
0,12,1,4,"[24.05, 0.0]",24.05,24.05,
0,12,2,6,"[21.86, 36.32]",36.32,36.32,
0,12,3,8,"[32.74, 27.41]",32.74,36.32,
0,12,4,10,"[20.72, 22.3]",22.3,36.32,
0,12,5,12,"[23.1, 16.91]",23.1,36.32,
0,12,6,14,"[20.51, 13.79]",20.51,36.32,
0,12,7,16,"[13.99, 6.77]",13.99,36.32,
0,12,8,18,"[10.93, 9.96]",10.93,36.32,
0,12,9,20,"[10.77, 13.34]",13.34,36.32,
0,13,0,2,"[16.44, 38.53]",38.53,38.53,
0,13,1,4,"[52.47, 0.0]",52.47,52.47,
0,13,2,6,"[62.33, 50.69]",62.33,62.33,
0,13,3,8,"[26.69, 92.19]",92.19,92.19,
0,13,4,10,"[84.03, 99.81]",99.81,99.81,
0,13,5,12,"[98.49, 61.09]",98.49,99.81,
0,13,6,14,"[100.0, 99.22]",100.0,100.0,
0,13,7,16,"[100.0, 43.84]",100.0,100.0,
0,13,8,18,"[98.38, 87.0]",98.38,100.0,
0,13,9,20,"[28.9, 32.43]",32.43,100.0,
0,14,0,2,"[69.03, 1.31]",69.03,69.03,
0,14,1,4,"[73.08, 0.0]",73.08,73.08,
0,14,2,6,"[28.02, 30.77]",30.77,73.08,
0,14,3,8,"[25.77, 58.48]",58.48,73.08,
0,14,4,10,"[58.95, 56.5]",58.95,73.08,
0,14,5,12,"[53.81, 54.55]",54.55,73.08,
0,14,6,14,"[29.82, 11.6]",29.82,73.08,
0,14,7,16,"[36.46, 19.95]",36.46,73.08,
0,14,8,18,"[28.37, 45.37]",45.37,73.08,
0,14,9,20,"[39.2, 18.19]",39.2,73.08,
0,15,0,2,"[0.0, 9.14]",9.14,9.14,
0,15,1,4,"[21.77, 16.91]",21.77,21.77,
0,15,2,6,"[14.06, 13.99]",14.06,21.77,
0,15,3,8,"[59.83, 22.3]",59.83,59.83,
0,15,4,10,"[40.26, 14.72]",40.26,59.83,
0,15,5,12,"[7.34, 72.45]",72.45,72.45,
0,15,6,14,"[61.33, 76.34]",76.34,76.34,
0,15,7,16,"[54.83, 23.23]",54.83,76.34,
0,15,8,18,"[30.03, 36.32]",36.32,76.34,
0,15,9,20,"[24.05, 32.74]",32.74,76.34,
0,16,0,2,"[38.79, 76.24]",76.24,76.24,
0,16,1,4,"[53.49, 14.29]",53.49,76.24,
0,16,2,6,"[6.23, 48.91]",48.91,76.24,
0,16,3,8,"[18.26, 84.67]",84.67,84.67,
0,16,4,10,"[78.6, 75.39]",78.6,84.67,
