% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1346,1,4,"[14.84, 5.45]",14.84,38.53,
0,1346,2,6,"[0.0, 0.0]",0.0,38.53,
0,1346,3,8,"[36.66, 0.0]",36.66,38.53,
0,1346,4,10,"[11.61, 41.64]",41.64,41.64,
0,1346,5,12,"[100.0, 17.0]",100.0,100.0,
0,1346,6,14,"[91.39, 100.0]",100.0,100.0,
0,1346,7,16,"[98.49, 7.34]",98.49,100.0,
0,1346,8,18,"[87.0, 91.11]",91.11,100.0,
0,1346,9,20,"[55.96, 2.84]",55.96,100.0,
0,1347,0,2,"[34.47, 27.71]",34.47,34.47,
0,1347,1,4,"[32.04, 0.0]",32.04,34.47,
0,1347,2,6,"[11.52, 24.09]",24.09,34.47,
0,1347,3,8,"[31.29, 8.43]",31.29,34.47,
0,1347,4,10,"[2.84, 56.5]",56.5,56.5,
0,1347,5,12,"[22.3, 53.52]",53.52,56.5,
0,1347,6,14,"[5.06, 11.18]",11.18,56.5,
0,1347,7,16,"[2.15, 2.01]",2.15,56.5,
0,1347,8,18,"[22.88, 24.76]",24.76,56.5,
0,1347,9,20,"[87.0, 15.44]",87.0,87.0,
0,1348,0,2,"[82.33, 0.0]",82.33,82.33,
0,1348,1,4,"[1.95, 6.7]",6.7,82.33,
0,1348,2,6,"[87.0, 8.17]",87.0,87.0,
0,1348,3,8,"[91.06, 38.53]",91.06,91.06,
0,1348,4,10,"[67.21, 100.0]",100.0,100.0,
0,1348,5,12,"[6.54, 19.28]",19.28,100.0,
0,1348,6,14,"[100.0, 69.2]",100.0,100.0,
0,1348,7,16,"[0.0, 55.96]",55.96,100.0,
0,1348,8,18,"[98.49, 83.25]",98.49,100.0,
0,1348,9,20,"[76.34, 91.11]",91.11,100.0,
0,1349,0,2,"[0.0, 21.43]",21.43,21.43,
0,1349,1,4,"[34.47, 7.61]",34.47,34.47,
0,1349,2,6,"[1.95, 27.05]",27.05,34.47,
0,1349,3,8,"[8.17, 7.12]",8.17,34.47,
0,1349,4,10,"[8.84, 1.3]",8.84,34.47,
0,1349,5,12,"[55.96, 32.43]",55.96,55.96,
0,1349,6,14,"[64.46, 100.0]",100.0,100.0,
0,1349,7,16,"[0.0, 91.06]",91.06,100.0,
0,1349,8,18,"[90.39, 91.39]",91.39,100.0,
0,1349,9,20,"[100.0, 91.11]",100.0,100.0,
0,1350,0,2,"[0.0, 50.54]",50.54,50.54,
0,1350,1,4,"[57.68, 39.81]",57.68,57.68,
0,1350,2,6,"[21.86, 14.84]",21.86,57.68,
0,1350,3,8,"[1.37, 31.32]",31.32,57.68,
0,1350,4,10,"[11.69, 10.46]",11.69,57.68,
0,1350,5,12,"[0.0, 5.77]",5.77,57.68,
0,1350,6,14,"[52.69, 0.0]",52.69,57.68,
0,1350,7,16,"[55.96, 34.47]",55.96,57.68,
0,1350,8,18,"[64.46, 45.28]",64.46,64.46,
0,1350,9,20,"[73.59, 100.0]",100.0,100.0,
0,1351,0,2,"[0.0, 0.0]",0.0,0.0,
0,1351,1,4,"[5.25, 23.83]",23.83,23.83,
0,1351,2,6,"[9.52, 20.05]",20.05,23.83,
0,1351,3,8,"[6.0, 67.85]",67.85,67.85,
0,1351,4,10,"[53.52, 38.53]",53.52,67.85,
0,1351,5,12,"[50.75, 11.18]",50.75,67.85,
0,1351,6,14,"[100.0, 80.69]",100.0,100.0,
0,1351,7,16,"[87.0, 20.73]",87.0,100.0,
0,1351,8,18,"[0.0, 41.64]",41.64,100.0,
0,1351,9,20,"[67.21, 100.0]",100.0,100.0,
0,1352,0,2,"[91.39, 12.61]",91.39,91.39,
0,1352,1,4,"[69.2, 7.12]",69.2,91.39,
0,1352,2,6,"[24.09, 0.0]",24.09,91.39,
0,1352,3,8,"[100.0, 25.69]",100.0,100.0,
0,1352,4,10,"[6.54, 91.06]",91.06,100.0,
0,1352,5,12,"[98.49, 19.84]",98.49,100.0,
0,1352,6,14,"[12.78, 100.0]",100.0,100.0,
0,1352,7,16,"[32.04, 87.0]",87.0,100.0,
0,1352,8,18,"[89.76, 0.0]",89.76,100.0,
0,1352,9,20,"[2.84, 96.38]",96.38,100.0,
0,1353,0,2,"[1.13, 84.62]",84.62,84.62,
0,1353,1,4,"[0.0, 12.77]",12.77,84.62,
0,1353,2,6,"[8.84, 16.39]",16.39,84.62,
0,1353,3,8,"[21.86, 76.63]",76.63,84.62,
0,1353,4,10,"[40.06, 39.32]",40.06,84.62,
0,1353,5,12,"[0.0, 81.66]",81.66,84.62,
0,1353,6,14,"[4.2, 5.53]",5.53,84.62,
0,1353,7,16,"[7.34, 54.41]",54.41,84.62,
0,1353,8,18,"[75.39, 80.69]",80.69,84.62,
0,1353,9,20,"[41.64, 0.28]",41.64,84.62,
0,1354,0,2,"[0.0, 6.77]",6.77,6.77,
