% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,0,0,2,"[26.48, 34.6]",34.6,34.6,
0,0,1,4,"[53.61, 25.64]",53.61,53.61,
0,0,2,6,"[13.12, 74.3]",74.3,74.3,
0,0,3,8,"[52.56, 78.93]",78.93,78.93,
0,0,4,10,"[68.17, 52.08]",68.17,78.93,
0,0,5,12,"[14.29, 49.48]",49.48,78.93,
0,0,6,14,"[21.09, 3.04]",21.09,78.93,
0,0,7,16,"[64.46, 2.64]",64.46,78.93,
0,0,8,18,"[39.2, 0.0]",39.2,78.93,
0,0,9,20,"[31.66, 71.81]",71.81,78.93,
0,1,0,2,"[1.39, 0.28]",1.39,1.39,
0,1,1,4,"[0.0, 4.86]",4.86,4.86,
0,1,2,6,"[14.26, 0.0]",14.26,14.26,
0,1,3,8,"[2.81, 78.19]",78.19,78.19,
0,1,4,10,"[31.85, 51.83]",51.83,78.19,
0,1,5,12,"[2.33, 58.4]",58.4,78.19,
0,1,6,14,"[79.1, 11.83]",79.1,79.1,
0,1,7,16,"[71.11, 19.64]",71.11,79.1,
0,1,8,18,"[45.01, 80.39]",80.39,80.39,
0,1,9,20,"[82.28, 48.34]",82.28,82.28,
0,2,0,2,"[2.11, 0.0]",2.11,2.11,
0,2,1,4,"[1.6, 1.58]",1.6,2.11,
0,2,2,6,"[7.54, 0.0]",7.54,7.54,
0,2,3,8,"[5.22, 79.1]",79.1,79.1,
0,2,4,10,"[28.53, 51.83]",51.83,79.1,
0,2,5,12,"[2.64, 58.4]",58.4,79.1,
0,2,6,14,"[4.33, 15.64]",15.64,79.1,
0,2,7,16,"[71.11, 78.19]",78.19,79.1,
0,2,8,18,"[66.27, 18.61]",66.27,79.1,
0,2,9,20,"[32.21, 9.96]",32.21,79.1,
0,3,0,2,"[0.0, 5.38]",5.38,5.38,
0,3,1,4,"[0.0, 0.25]",0.25,5.38,
0,3,2,6,"[13.71, 31.85]",31.85,31.85,
0,3,3,8,"[78.19, 11.68]",78.19,78.19,
0,3,4,10,"[58.4, 2.33]",58.4,78.19,
0,3,5,12,"[79.1, 51.83]",79.1,79.1,
0,3,6,14,"[4.33, 19.64]",19.64,79.1,
0,3,7,16,"[71.11, 45.01]",71.11,79.1,
0,3,8,18,"[3.55, 37.38]",37.38,79.1,
0,3,9,20,"[76.59, 8.61]",76.59,79.1,
0,4,0,2,"[0.0, 40.26]",40.26,40.26,
0,4,1,4,"[61.33, 7.43]",61.33,61.33,
0,4,2,6,"[76.34, 26.48]",76.34,76.34,
0,4,3,8,"[30.03, 54.83]",54.83,76.34,
0,4,4,10,"[72.45, 100.0]",100.0,100.0,
0,4,5,12,"[92.19, 84.03]",92.19,100.0,
0,4,6,14,"[98.49, 100.0]",100.0,100.0,
0,4,7,16,"[98.38, 28.9]",98.38,100.0,
0,4,8,18,"[99.22, 22.88]",99.22,100.0,
0,4,9,20,"[19.28, 87.0]",87.0,100.0,
0,5,0,2,"[4.16, 25.77]",25.77,25.77,
0,5,1,4,"[58.48, 12.07]",58.48,58.48,
0,5,2,6,"[53.81, 45.37]",53.81,58.48,
0,5,3,8,"[13.31, 71.43]",71.43,71.43,
0,5,4,10,"[78.44, 78.6]",78.6,78.6,
0,5,5,12,"[84.62, 77.01]",84.62,84.62,
0,5,6,14,"[75.4, 32.5]",75.4,84.62,
0,5,7,16,"[79.76, 0.0]",79.76,84.62,
0,5,8,18,"[68.31, 48.34]",68.31,84.62,
0,5,9,20,"[76.63, 44.28]",76.63,84.62,
0,6,0,2,"[4.1, 84.03]",84.03,84.03,
0,6,1,4,"[92.19, 43.84]",92.19,92.19,
0,6,2,6,"[99.81, 22.88]",99.81,99.81,
0,6,3,8,"[61.33, 44.47]",61.33,99.81,
0,6,4,10,"[98.49, 0.0]",98.49,99.81,
0,6,5,12,"[14.06, 80.65]",80.65,99.81,
0,6,6,14,"[36.73, 80.86]",80.86,99.81,
0,6,7,16,"[45.37, 17.56]",45.37,99.81,
0,6,8,18,"[19.99, 0.0]",19.99,99.81,
0,6,9,20,"[100.0, 98.38]",100.0,100.0,
0,7,0,2,"[37.3, 3.13]",37.3,37.3,
0,7,1,4,"[40.04, 23.8]",40.04,40.04,
0,7,2,6,"[10.66, 18.95]",18.95,40.04,
0,7,3,8,"[53.25, 24.55]",53.25,53.25,
0,7,4,10,"[53.02, 31.29]",53.02,53.25,
0,7,5,12,"[53.61, 52.2]",53.61,53.61,
0,7,6,14,"[34.6, 53.11]",53.11,53.61,
0,7,7,16,"[31.43, 57.68]",57.68,57.68,
0,7,8,18,"[49.48, 37.37]",49.48,57.68,
0,7,9,20,"[44.4, 13.12]",44.4,57.68,
0,8,0,2,"[41.03, 2.79]",41.03,41.03,
0,8,1,4,"[38.45, 43.9]",43.9,43.9,
0,8,2,6,"[26.29, 16.87]",26.29,43.9,
0,8,3,8,"[6.96, 76.63]",76.63,76.63,
0,8,4,10,"[34.45, 66.03]",66.03,76.63,
0,8,5,12,"[70.8, 61.67]",70.8,76.63,
0,8,6,14,"[84.48, 84.62]",84.62,84.62,
0,8,7,16,"[78.6, 84.67]",84.67,84.67,
0,8,8,18,"[38.79, 84.49]",84.49,84.67,
0,8,9,20,"[77.01, 6.23]",77.01,84.67,
0,9,0,2,"[78.19, 0.6]",78.19,78.19,
0,9,1,4,"[7.5, 58.4]",58.4,78.19,
0,9,2,6,"[66.27, 11.83]",66.27,78.19,
0,9,3,8,"[79.1, 10.49]",79.1,79.1,
0,9,4,10,"[51.83, 38.79]",51.83,79.1,
0,9,5,12,"[19.64, 32.21]",32.21,79.1,
0,9,6,14,"[18.61, 84.49]",84.49,84.49,
0,9,7,16,"[80.39, 84.48]",84.48,84.49,
0,9,8,18,"[40.06, 48.86]",48.86,84.49,
0,9,9,20,"[82.28, 86.14]",86.14,86.14,
0,10,0,2,"[0.0, 1.12]",1.12,1.12,
0,10,1,4,"[0.0, 0.0]",0.0,1.12,
0,10,2,6,"[0.0, 18.61]",18.61,18.61,
0,10,3,8,"[24.11, 2.53]",24.11,24.11,
0,10,4,10,"[13.88, 11.91]",13.88,24.11,
0,10,5,12,"[12.78, 0.0]",12.78,24.11,
0,10,6,14,"[80.39, 2.64]",80.39,80.39,
0,10,7,16,"[84.49, 60.68]",84.49,84.49,
0,10,8,18,"[84.67, 48.34]",84.67,84.67,
0,10,9,20,"[48.86, 76.24]",76.24,84.67,
0,11,0,2,"[0.0, 82.28]",82.28,82.28,
0,11,1,4,"[84.48, 0.74]",84.48,84.48,
0,11,2,6,"[84.67, 27.79]",84.67,84.67,
0,11,3,8,"[80.39, 38.79]",80.39,84.67,
0,11,4,10,"[84.49, 76.24]",84.49,84.67,
0,11,5,12,"[59.05, 53.49]",59.05,84.67,
0,11,6,14,"[48.86, 78.6]",78.6,84.67,
0,11,7,16,"[6.23, 77.01]",77.01,84.67,
0,11,8,18,"[71.43, 61.67]",71.43,84.67,
0,11,9,20,"[0.0, 70.8]",70.8,84.67,
0,12,0,2,"[0.0, 0.0]",0.0,0.0,
0,12,1,4,"[3.18, 0.41]",3.18,3.18,
0,12,2,6,"[6.87, 3.13]",6.87,6.87,
0,12,3,8,"[5.68, 6.48]",6.48,6.87,
0,12,4,10,"[4.87, 4.39]",4.87,6.87,
0,12,5,12,"[85.21, 20.51]",85.21,85.21,
0,12,6,14,"[43.12, 36.97]",43.12,85.21,
0,12,7,16,"[39.57, 7.88]",39.57,85.21,
0,12,8,18,"[5.95, 5.75]",5.95,85.21,
0,12,9,20,"[98.38, 52.08]",98.38,98.38,
