Substance encoding,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield
MORDRED,1339,25,26,[50.74],50.74,99.98
MORDRED,1339,26,27,[100.0],100.0,100.0
MORDRED,1339,27,28,[43.84],43.84,100.0
MORDRED,1339,28,29,[19.13],19.13,100.0
MORDRED,1339,29,30,[32.21],32.21,100.0
MORDRED,1339,30,31,[67.21],67.21,100.0
MORDRED,1339,31,32,[80.65],80.65,100.0
MORDRED,1339,32,33,[43.12],43.12,100.0
MORDRED,1339,33,34,[98.49],98.49,100.0
MORDRED,1339,34,35,[61.09],61.09,100.0
MORDRED,1339,35,36,[83.62],83.62,100.0
MORDRED,1339,36,37,[78.93],78.93,100.0
MORDRED,1339,37,38,[50.7],50.7,100.0
MORDRED,1339,38,39,[79.1],79.1,100.0
MORDRED,1339,39,40,[2.64],2.64,100.0
MORDRED,1340,0,1,[3.51],3.51,3.51
MORDRED,1340,1,2,[1.89],1.89,3.51
MORDRED,1340,2,3,[19.77],19.77,19.77
MORDRED,1340,3,4,[0.4],0.4,19.77
MORDRED,1340,4,5,[6.22],6.22,19.77
MORDRED,1340,5,6,[0.0],0.0,19.77
MORDRED,1340,6,7,[31.53],31.53,31.53
MORDRED,1340,7,8,[37.93],37.93,37.93
MORDRED,1340,8,9,[12.91],12.91,37.93
MORDRED,1340,9,10,[23.8],23.8,37.93
MORDRED,1340,10,11,[15.73],15.73,37.93
MORDRED,1340,11,12,[0.0],0.0,37.93
MORDRED,1340,12,13,[49.48],49.48,49.48
MORDRED,1340,13,14,[68.17],68.17,68.17
MORDRED,1340,14,15,[58.4],58.4,68.17
MORDRED,1340,15,16,[50.7],50.7,68.17
MORDRED,1340,16,17,[0.0],0.0,68.17
MORDRED,1340,17,18,[31.66],31.66,68.17
MORDRED,1340,18,19,[84.64],84.64,84.64
MORDRED,1340,19,20,[1.76],1.76,84.64
MORDRED,1340,20,21,[3.6],3.6,84.64
MORDRED,1340,21,22,[5.22],5.22,84.64
MORDRED,1340,22,23,[5.75],5.75,84.64
MORDRED,1340,23,24,[2.41],2.41,84.64
MORDRED,1340,24,25,[5.47],5.47,84.64
MORDRED,1340,25,26,[5.49],5.49,84.64
MORDRED,1340,26,27,[79.1],79.1,84.64
MORDRED,1340,27,28,[2.64],2.64,84.64
MORDRED,1340,28,29,[3.14],3.14,84.64
MORDRED,1340,29,30,[5.03],5.03,84.64
MORDRED,1340,30,31,[5.95],5.95,84.64
MORDRED,1340,31,32,[78.19],78.19,84.64
MORDRED,1340,32,33,[31.85],31.85,84.64
MORDRED,1340,33,34,[0.0],0.0,84.64
MORDRED,1340,34,35,[0.0],0.0,84.64
MORDRED,1340,35,36,[2.81],2.81,84.64
MORDRED,1340,36,37,[74.3],74.3,84.64
MORDRED,1340,37,38,[78.6],78.6,84.64
