Substance encoding,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield
RDKIT,1365,33,34,[80.65],80.65,99.98
RDKIT,1365,34,35,[5.65],5.65,99.98
RDKIT,1365,35,36,[8.82],8.82,99.98
RDKIT,1365,36,37,[59.82],59.82,99.98
RDKIT,1365,37,38,[77.52],77.52,99.98
RDKIT,1365,38,39,[91.27],91.27,99.98
RDKIT,1365,39,40,[58.4],58.4,99.98
RDKIT,1366,0,1,[40.76],40.76,40.76
RDKIT,1366,1,2,[12.91],12.91,40.76
RDKIT,1366,2,3,[0.0],0.0,40.76
RDKIT,1366,3,4,[3.79],3.79,40.76
RDKIT,1366,4,5,[0.0],0.0,40.76
RDKIT,1366,5,6,[25.77],25.77,40.76
RDKIT,1366,6,7,[33.65],33.65,40.76
RDKIT,1366,7,8,[42.48],42.48,42.48
RDKIT,1366,8,9,[54.55],54.55,54.55
RDKIT,1366,9,10,[8.95],8.95,54.55
RDKIT,1366,10,11,[0.0],0.0,54.55
RDKIT,1366,11,12,[29.57],29.57,54.55
RDKIT,1366,12,13,[13.79],13.79,54.55
RDKIT,1366,13,14,[31.43],31.43,54.55
RDKIT,1366,14,15,[52.47],52.47,54.55
RDKIT,1366,15,16,[45.73],45.73,54.55
RDKIT,1366,16,17,[16.83],16.83,54.55
RDKIT,1366,17,18,[77.52],77.52,77.52
RDKIT,1366,18,19,[75.46],75.46,77.52
RDKIT,1366,19,20,[12.23],12.23,77.52
RDKIT,1366,20,21,[80.65],80.65,80.65
RDKIT,1366,21,22,[71.81],71.81,80.65
RDKIT,1366,22,23,[70.51],70.51,80.65
RDKIT,1366,23,24,[0.0],0.0,80.65
RDKIT,1366,24,25,[76.66],76.66,80.65
RDKIT,1366,25,26,[99.98],99.98,99.98
RDKIT,1366,26,27,[88.82],88.82,99.98
RDKIT,1366,27,28,[80.86],80.86,99.98
RDKIT,1366,28,29,[1.89],1.89,99.98
RDKIT,1366,29,30,[63.2],63.2,99.98
RDKIT,1366,30,31,[0.0],0.0,99.98
RDKIT,1366,31,32,[11.99],11.99,99.98
RDKIT,1366,32,33,[96.64],96.64,99.98
RDKIT,1366,33,34,[98.38],98.38,99.98
RDKIT,1366,34,35,[99.22],99.22,99.98
RDKIT,1366,35,36,[81.63],81.63,99.98
RDKIT,1366,36,37,[83.22],83.22,99.98
RDKIT,1366,37,38,[99.81],99.81,99.98
RDKIT,1366,38,39,[87.59],87.59,99.98
RDKIT,1366,39,40,[92.19],92.19,99.98
RDKIT,1367,0,1,[13.99],13.99,13.99
RDKIT,1367,1,2,[0.0],0.0,13.99
RDKIT,1367,2,3,[21.09],21.09,21.09
RDKIT,1367,3,4,[0.0],0.0,21.09
RDKIT,1367,4,5,[12.25],12.25,21.09
RDKIT,1367,5,6,[6.48],6.48,21.09
RDKIT,1367,6,7,[44.4],44.4,44.4
RDKIT,1367,7,8,[18.95],18.95,44.4
RDKIT,1367,8,9,[36.73],36.73,44.4
RDKIT,1367,9,10,[8.95],8.95,44.4
RDKIT,1367,10,11,[0.0],0.0,44.4
RDKIT,1367,11,12,[14.68],14.68,44.4
RDKIT,1367,12,13,[24.55],24.55,44.4
RDKIT,1367,13,14,[19.99],19.99,44.4
RDKIT,1367,14,15,[26.3],26.3,44.4
RDKIT,1367,15,16,[52.2],52.2,52.2
RDKIT,1367,16,17,[33.6],33.6,52.2
RDKIT,1367,17,18,[5.7],5.7,52.2
RDKIT,1367,18,19,[26.56],26.56,52.2
RDKIT,1367,19,20,[0.66],0.66,52.2
RDKIT,1367,20,21,[44.47],44.47,52.2
RDKIT,1367,21,22,[80.65],80.65,80.65
RDKIT,1367,22,23,[77.52],77.52,80.65
RDKIT,1367,23,24,[70.51],70.51,80.65
RDKIT,1367,24,25,[0.0],0.0,80.65
RDKIT,1367,25,26,[99.81],99.81,99.81
RDKIT,1367,26,27,[89.95],89.95,99.81
RDKIT,1367,27,28,[98.38],98.38,99.81
RDKIT,1367,28,29,[96.64],96.64,99.81
RDKIT,1367,29,30,[83.22],83.22,99.81
RDKIT,1367,30,31,[87.59],87.59,99.81
RDKIT,1367,31,32,[99.22],99.22,99.81
RDKIT,1367,32,33,[92.19],92.19,99.81
RDKIT,1367,33,34,[95.48],95.48,99.81
RDKIT,1367,34,35,[81.63],81.63,99.81
RDKIT,1367,35,36,[79.1],79.1,99.81
RDKIT,1367,36,37,[76.59],76.59,99.81
RDKIT,1367,37,38,[11.91],11.91,99.81
RDKIT,1367,38,39,[55.96],55.96,99.81
RDKIT,1367,39,40,[45.85],45.85,99.81
RDKIT,1368,0,1,[2.72],2.72,2.72
RDKIT,1368,1,2,[9.96],9.96,9.96
RDKIT,1368,2,3,[80.65],80.65,80.65
RDKIT,1368,3,4,[3.33],3.33,80.65
RDKIT,1368,4,5,[98.38],98.38,98.38
RDKIT,1368,5,6,[65.32],65.32,98.38
RDKIT,1368,6,7,[31.14],31.14,98.38
RDKIT,1368,7,8,[52.08],52.08,98.38
RDKIT,1368,8,9,[28.9],28.9,98.38
RDKIT,1368,9,10,[0.0],0.0,98.38
RDKIT,1368,10,11,[26.69],26.69,98.38
RDKIT,1368,11,12,[21.88],21.88,98.38
RDKIT,1368,12,13,[37.93],37.93,98.38
RDKIT,1368,13,14,[19.99],19.99,98.38
RDKIT,1368,14,15,[50.7],50.7,98.38
RDKIT,1368,15,16,[89.95],89.95,98.38
RDKIT,1368,16,17,[55.96],55.96,98.38
RDKIT,1368,17,18,[0.0],0.0,98.38
RDKIT,1368,18,19,[95.48],95.48,98.38
RDKIT,1368,19,20,[92.03],92.03,98.38
RDKIT,1368,20,21,[75.46],75.46,98.38
RDKIT,1368,21,22,[92.19],92.19,98.38
RDKIT,1368,22,23,[81.63],81.63,98.38
RDKIT,1368,23,24,[87.59],87.59,98.38
RDKIT,1368,24,25,[96.64],96.64,98.38
RDKIT,1368,25,26,[99.81],99.81,99.81
RDKIT,1368,26,27,[7.54],7.54,99.81
RDKIT,1368,27,28,[3.33],3.33,99.81
RDKIT,1368,28,29,[22.07],22.07,99.81
RDKIT,1368,29,30,[83.85],83.85,99.81
RDKIT,1368,30,31,[76.66],76.66,99.81
RDKIT,1368,31,32,[83.22],83.22,99.81
RDKIT,1368,32,33,[18.38],18.38,99.81
RDKIT,1368,33,34,[12.25],12.25,99.81
RDKIT,1368,34,35,[77.52],77.52,99.81
RDKIT,1368,35,36,[79.1],79.1,99.81
RDKIT,1368,36,37,[91.27],91.27,99.81
RDKIT,1368,37,38,[45.85],45.85,99.81
RDKIT,1368,38,39,[84.64],84.64,99.81
RDKIT,1368,39,40,[44.96],44.96,99.81
RDKIT,1369,0,1,[6.15],6.15,6.15
RDKIT,1369,1,2,[0.0],0.0,6.15
RDKIT,1369,2,3,[62.04],62.04,62.04
RDKIT,1369,3,4,[21.09],21.09,62.04
RDKIT,1369,4,5,[3.33],3.33,62.04
RDKIT,1369,5,6,[2.62],2.62,62.04
RDKIT,1369,6,7,[92.03],92.03,92.03
RDKIT,1369,7,8,[84.03],84.03,92.03
RDKIT,1369,8,9,[98.38],98.38,98.38
RDKIT,1369,9,10,[99.81],99.81,99.81
RDKIT,1369,10,11,[99.22],99.22,99.81
RDKIT,1369,11,12,[9.96],9.96,99.81
RDKIT,1369,12,13,[96.64],96.64,99.81
RDKIT,1369,13,14,[60.29],60.29,99.81
RDKIT,1369,14,15,[87.59],87.59,99.81
RDKIT,1369,15,16,[81.63],81.63,99.81
RDKIT,1369,16,17,[28.9],28.9,99.81
RDKIT,1369,17,18,[92.19],92.19,99.81
RDKIT,1369,18,19,[71.81],71.81,99.81
RDKIT,1369,19,20,[33.69],33.69,99.81
RDKIT,1369,20,21,[83.85],83.85,99.81
RDKIT,1369,21,22,[19.13],19.13,99.81
RDKIT,1369,22,23,[85.21],85.21,99.81
RDKIT,1369,23,24,[5.95],5.95,99.81
RDKIT,1369,24,25,[5.65],5.65,99.81
RDKIT,1369,25,26,[80.86],80.86,99.81
RDKIT,1369,26,27,[20.72],20.72,99.81
RDKIT,1369,27,28,[95.48],95.48,99.81
RDKIT,1369,28,29,[50.74],50.74,99.81
RDKIT,1369,29,30,[83.22],83.22,99.81
RDKIT,1369,30,31,[89.14],89.14,99.81
RDKIT,1369,31,32,[18.38],18.38,99.81
RDKIT,1369,32,33,[52.08],52.08,99.81
RDKIT,1369,33,34,[89.95],89.95,99.81
RDKIT,1369,34,35,[45.85],45.85,99.81
RDKIT,1369,35,36,[72.24],72.24,99.81
RDKIT,1369,36,37,[21.65],21.65,99.81
RDKIT,1369,37,38,[5.16],5.16,99.81
RDKIT,1369,38,39,[4.3],4.3,99.81
RDKIT,1369,39,40,[80.65],80.65,99.81
RDKIT,1370,0,1,[92.03],92.03,92.03
RDKIT,1370,1,2,[24.05],24.05,92.03
RDKIT,1370,2,3,[0.0],0.0,92.03
RDKIT,1370,3,4,[62.04],62.04,92.03
RDKIT,1370,4,5,[0.0],0.0,92.03
RDKIT,1370,5,6,[46.42],46.42,92.03
RDKIT,1370,6,7,[22.07],22.07,92.03
RDKIT,1370,7,8,[75.46],75.46,92.03
RDKIT,1370,8,9,[30.41],30.41,92.03
RDKIT,1370,9,10,[49.48],49.48,92.03
RDKIT,1370,10,11,[92.19],92.19,92.19
RDKIT,1370,11,12,[19.13],19.13,92.19
RDKIT,1370,12,13,[6.2],6.2,92.19
RDKIT,1370,13,14,[99.22],99.22,99.22
RDKIT,1370,14,15,[99.98],99.98,99.98
RDKIT,1370,15,16,[18.61],18.61,99.98
RDKIT,1370,16,17,[80.86],80.86,99.98
RDKIT,1370,17,18,[50.74],50.74,99.98
RDKIT,1370,18,19,[99.81],99.81,99.98
RDKIT,1370,19,20,[98.38],98.38,99.98
RDKIT,1370,20,21,[71.81],71.81,99.98
RDKIT,1370,21,22,[87.59],87.59,99.98
RDKIT,1370,22,23,[5.95],5.95,99.98
RDKIT,1370,23,24,[26.69],26.69,99.98
RDKIT,1370,24,25,[81.63],81.63,99.98
RDKIT,1370,25,26,[78.93],78.93,99.98
RDKIT,1370,26,27,[0.0],0.0,99.98
RDKIT,1370,27,28,[74.3],74.3,99.98
RDKIT,1370,28,29,[50.7],50.7,99.98
RDKIT,1370,29,30,[3.04],3.04,99.98
RDKIT,1370,30,31,[89.95],89.95,99.98
RDKIT,1370,31,32,[79.1],79.1,99.98
RDKIT,1370,32,33,[78.19],78.19,99.98
RDKIT,1370,33,34,[84.64],84.64,99.98
RDKIT,1370,34,35,[58.4],58.4,99.98
RDKIT,1370,35,36,[45.85],45.85,99.98
RDKIT,1370,36,37,[98.49],98.49,99.98
RDKIT,1370,37,38,[100.0],100.0,100.0
RDKIT,1370,38,39,[100.0],100.0,100.0
RDKIT,1370,39,40,[63.2],63.2,100.0
RDKIT,1371,0,1,[92.19],92.19,92.19
RDKIT,1371,1,2,[20.5],20.5,92.19
RDKIT,1371,2,3,[0.83],0.83,92.19
RDKIT,1371,3,4,[52.08],52.08,92.19
RDKIT,1371,4,5,[0.0],0.0,92.19
RDKIT,1371,5,6,[52.47],52.47,92.19
RDKIT,1371,6,7,[71.81],71.81,92.19
RDKIT,1371,7,8,[5.65],5.65,92.19
RDKIT,1371,8,9,[28.9],28.9,92.19
RDKIT,1371,9,10,[23.81],23.81,92.19
RDKIT,1371,10,11,[26.39],26.39,92.19
RDKIT,1371,11,12,[8.82],8.82,92.19
RDKIT,1371,12,13,[18.93],18.93,92.19
RDKIT,1371,13,14,[95.48],95.48,95.48
RDKIT,1371,14,15,[92.03],92.03,95.48
RDKIT,1371,15,16,[89.95],89.95,95.48
RDKIT,1371,16,17,[18.38],18.38,95.48
RDKIT,1371,17,18,[81.63],81.63,95.48
RDKIT,1371,18,19,[50.74],50.74,95.48
RDKIT,1371,19,20,[83.85],83.85,95.48
RDKIT,1371,20,21,[99.81],99.81,99.81
RDKIT,1371,21,22,[0.0],0.0,99.81
RDKIT,1371,22,23,[3.14],3.14,99.81
RDKIT,1371,23,24,[87.59],87.59,99.81
RDKIT,1371,24,25,[96.64],96.64,99.81
RDKIT,1371,25,26,[45.85],45.85,99.81
RDKIT,1371,26,27,[98.38],98.38,99.81
RDKIT,1371,27,28,[83.22],83.22,99.81
RDKIT,1371,28,29,[99.22],99.22,99.81
RDKIT,1371,29,30,[9.35],9.35,99.81
RDKIT,1371,30,31,[0.0],0.0,99.81
RDKIT,1371,31,32,[50.7],50.7,99.81
RDKIT,1371,32,33,[58.4],58.4,99.81
RDKIT,1371,33,34,[14.24],14.24,99.81
RDKIT,1371,34,35,[15.64],15.64,99.81
RDKIT,1371,35,36,[3.6],3.6,99.81
RDKIT,1371,36,37,[80.86],80.86,99.81
RDKIT,1371,37,38,[80.65],80.65,99.81
RDKIT,1371,38,39,[5.22],5.22,99.81
RDKIT,1371,39,40,[31.66],31.66,99.81
RDKIT,1372,0,1,[37.38],37.38,37.38
RDKIT,1372,1,2,[23.81],23.81,37.38
RDKIT,1372,2,3,[0.0],0.0,37.38
RDKIT,1372,3,4,[22.07],22.07,37.38
RDKIT,1372,4,5,[16.51],16.51,37.38
RDKIT,1372,5,6,[24.05],24.05,37.38
RDKIT,1372,6,7,[2.78],2.78,37.38
RDKIT,1372,7,8,[8.52],8.52,37.38
RDKIT,1372,8,9,[31.66],31.66,37.38
RDKIT,1372,9,10,[0.0],0.0,37.38
RDKIT,1372,10,11,[14.53],14.53,37.38
RDKIT,1372,11,12,[31.43],31.43,37.38
RDKIT,1372,12,13,[4.39],4.39,37.38
RDKIT,1372,13,14,[14.29],14.29,37.38
RDKIT,1372,14,15,[52.2],52.2,52.2
RDKIT,1372,15,16,[52.23],52.23,52.23
RDKIT,1372,16,17,[36.73],36.73,52.23
RDKIT,1372,17,18,[0.85],0.85,52.23
RDKIT,1372,18,19,[61.09],61.09,61.09
RDKIT,1372,19,20,[99.81],99.81,99.81
RDKIT,1372,20,21,[89.95],89.95,99.81
RDKIT,1372,21,22,[98.38],98.38,99.81
RDKIT,1372,22,23,[99.22],99.22,99.81
RDKIT,1372,23,24,[83.22],83.22,99.81
RDKIT,1372,24,25,[92.19],92.19,99.81
RDKIT,1372,25,26,[45.73],45.73,99.81
RDKIT,1372,26,27,[81.63],81.63,99.81
RDKIT,1372,27,28,[60.29],60.29,99.81
RDKIT,1372,28,29,[87.59],87.59,99.81
RDKIT,1372,29,30,[80.86],80.86,99.81
RDKIT,1372,30,31,[24.11],24.11,99.81
RDKIT,1372,31,32,[92.03],92.03,99.81
RDKIT,1372,32,33,[3.04],3.04,99.81
RDKIT,1372,33,34,[77.52],77.52,99.81
RDKIT,1372,34,35,[12.23],12.23,99.81
RDKIT,1372,35,36,[0.0],0.0,99.81
RDKIT,1372,36,37,[80.65],80.65,99.81
RDKIT,1372,37,38,[87.0],87.0,99.81
RDKIT,1372,38,39,[9.96],9.96,99.81
RDKIT,1372,39,40,[0.14],0.14,99.81
RDKIT,1373,0,1,[0.0],0.0,0.0
RDKIT,1373,1,2,[10.66],10.66,10.66
RDKIT,1373,2,3,[20.5],20.5,20.5
RDKIT,1373,3,4,[0.0],0.0,20.5
RDKIT,1373,4,5,[85.21],85.21,85.21
RDKIT,1373,5,6,[5.65],5.65,85.21
RDKIT,1373,6,7,[76.59],76.59,85.21
RDKIT,1373,7,8,[98.38],98.38,98.38
RDKIT,1373,8,9,[96.64],96.64,98.38
RDKIT,1373,9,10,[2.78],2.78,98.38
RDKIT,1373,10,11,[52.47],52.47,98.38
RDKIT,1373,11,12,[3.14],3.14,98.38
RDKIT,1373,12,13,[28.9],28.9,98.38
RDKIT,1373,13,14,[31.14],31.14,98.38
RDKIT,1373,14,15,[80.86],80.86,98.38
RDKIT,1373,15,16,[7.65],7.65,98.38
RDKIT,1373,16,17,[62.04],62.04,98.38
RDKIT,1373,17,18,[89.95],89.95,98.38
RDKIT,1373,18,19,[95.48],95.48,98.38
RDKIT,1373,19,20,[99.22],99.22,99.22
RDKIT,1373,20,21,[81.63],81.63,99.22
RDKIT,1373,21,22,[99.81],99.81,99.81
RDKIT,1373,22,23,[75.46],75.46,99.81
RDKIT,1373,23,24,[92.19],92.19,99.81
RDKIT,1373,24,25,[53.11],53.11,99.81
RDKIT,1373,25,26,[51.83],51.83,99.81
RDKIT,1373,26,27,[87.59],87.59,99.81
RDKIT,1373,27,28,[80.65],80.65,99.81
RDKIT,1373,28,29,[24.11],24.11,99.81
RDKIT,1373,29,30,[83.22],83.22,99.81
RDKIT,1373,30,31,[74.3],74.3,99.81
RDKIT,1373,31,32,[92.03],92.03,99.81
RDKIT,1373,32,33,[89.14],89.14,99.81
RDKIT,1373,33,34,[5.16],5.16,99.81
RDKIT,1373,34,35,[50.7],50.7,99.81
RDKIT,1373,35,36,[25.45],25.45,99.81
RDKIT,1373,36,37,[71.81],71.81,99.81
RDKIT,1373,37,38,[78.93],78.93,99.81
RDKIT,1373,38,39,[55.96],55.96,99.81
RDKIT,1373,39,40,[76.66],76.66,99.81
RDKIT,1374,0,1,[0.0],0.0,0.0
RDKIT,1374,1,2,[6.77],6.77,6.77
RDKIT,1374,2,3,[30.17],30.17,30.17
RDKIT,1374,3,4,[0.0],0.0,30.17
RDKIT,1374,4,5,[31.66],31.66,31.66
RDKIT,1374,5,6,[5.15],5.15,31.66
RDKIT,1374,6,7,[10.13],10.13,31.66
RDKIT,1374,7,8,[44.4],44.4,44.4
RDKIT,1374,8,9,[36.73],36.73,44.4
RDKIT,1374,9,10,[54.55],54.55,54.55
RDKIT,1374,10,11,[8.95],8.95,54.55
RDKIT,1374,11,12,[53.81],53.81,54.55
RDKIT,1374,12,13,[37.58],37.58,54.55
RDKIT,1374,13,14,[13.79],13.79,54.55
RDKIT,1374,14,15,[21.5],21.5,54.55
RDKIT,1374,15,16,[0.0],0.0,54.55
RDKIT,1374,16,17,[58.48],58.48,58.48
RDKIT,1374,17,18,[25.77],25.77,58.48
RDKIT,1374,18,19,[0.0],0.0,58.48
RDKIT,1374,19,20,[13.31],13.31,58.48
RDKIT,1374,20,21,[75.46],75.46,75.46
RDKIT,1374,21,22,[77.52],77.52,77.52
RDKIT,1374,22,23,[50.74],50.74,77.52
RDKIT,1374,23,24,[19.71],19.71,77.52
RDKIT,1374,24,25,[0.0],0.0,77.52
RDKIT,1374,25,26,[80.65],80.65,80.65
RDKIT,1374,26,27,[70.51],70.51,80.65
RDKIT,1374,27,28,[44.47],44.47,80.65
RDKIT,1374,28,29,[71.81],71.81,80.65
RDKIT,1374,29,30,[80.86],80.86,80.86
RDKIT,1374,30,31,[76.66],76.66,80.86
RDKIT,1374,31,32,[67.57],67.57,80.86
RDKIT,1374,32,33,[99.98],99.98,99.98
RDKIT,1374,33,34,[98.38],98.38,99.98
RDKIT,1374,34,35,[99.22],99.22,99.98
RDKIT,1374,35,36,[83.22],83.22,99.98
RDKIT,1374,36,37,[28.9],28.9,99.98
RDKIT,1374,37,38,[52.47],52.47,99.98
RDKIT,1374,38,39,[99.81],99.81,99.98
RDKIT,1374,39,40,[92.19],92.19,99.98
RDKIT,1375,0,1,[54.55],54.55,54.55
RDKIT,1375,1,2,[4.66],4.66,54.55
RDKIT,1375,2,3,[0.0],0.0,54.55
RDKIT,1375,3,4,[20.5],20.5,54.55
RDKIT,1375,4,5,[3.33],3.33,54.55
RDKIT,1375,5,6,[0.0],0.0,54.55
RDKIT,1375,6,7,[4.97],4.97,54.55
RDKIT,1375,7,8,[13.79],13.79,54.55
RDKIT,1375,8,9,[44.4],44.4,54.55
RDKIT,1375,9,10,[43.22],43.22,54.55
RDKIT,1375,10,11,[26.3],26.3,54.55
RDKIT,1375,11,12,[36.73],36.73,54.55
RDKIT,1375,12,13,[13.02],13.02,54.55
RDKIT,1375,13,14,[0.0],0.0,54.55
RDKIT,1375,14,15,[13.31],13.31,54.55
RDKIT,1375,15,16,[29.45],29.45,54.55
RDKIT,1375,16,17,[25.64],25.64,54.55
RDKIT,1375,17,18,[99.98],99.98,99.98
RDKIT,1375,18,19,[52.47],52.47,99.98
RDKIT,1375,19,20,[50.74],50.74,99.98
RDKIT,1375,20,21,[99.22],99.22,99.98
RDKIT,1375,21,22,[98.38],98.38,99.98
RDKIT,1375,22,23,[100.0],100.0,100.0
RDKIT,1375,23,24,[87.0],87.0,100.0
RDKIT,1375,24,25,[81.63],81.63,100.0
RDKIT,1375,25,26,[43.84],43.84,100.0
RDKIT,1375,26,27,[99.81],99.81,100.0
RDKIT,1375,27,28,[92.19],92.19,100.0
RDKIT,1375,28,29,[83.22],83.22,100.0
RDKIT,1375,29,30,[74.3],74.3,100.0
RDKIT,1375,30,31,[4.3],4.3,100.0
RDKIT,1375,31,32,[87.59],87.59,100.0
RDKIT,1375,32,33,[78.93],78.93,100.0
RDKIT,1375,33,34,[80.86],80.86,100.0
RDKIT,1375,34,35,[83.85],83.85,100.0
RDKIT,1375,35,36,[68.17],68.17,100.0
RDKIT,1375,36,37,[80.65],80.65,100.0
RDKIT,1375,37,38,[40.26],40.26,100.0
RDKIT,1375,38,39,[98.49],98.49,100.0
RDKIT,1375,39,40,[89.95],89.95,100.0
RDKIT,1376,0,1,[46.17],46.17,46.17
RDKIT,1376,1,2,[10.66],10.66,46.17
RDKIT,1376,2,3,[22.07],22.07,46.17
RDKIT,1376,3,4,[0.0],0.0,46.17
RDKIT,1376,4,5,[5.62],5.62,46.17
RDKIT,1376,5,6,[0.0],0.0,46.17
RDKIT,1376,6,7,[21.8],21.8,46.17
RDKIT,1376,7,8,[26.3],26.3,46.17
RDKIT,1376,8,9,[11.65],11.65,46.17
RDKIT,1376,9,10,[65.32],65.32,65.32
RDKIT,1376,10,11,[84.03],84.03,84.03
RDKIT,1376,11,12,[99.81],99.81,99.81
RDKIT,1376,12,13,[98.38],98.38,99.81
RDKIT,1376,13,14,[99.22],99.22,99.81
RDKIT,1376,14,15,[71.81],71.81,99.81
RDKIT,1376,15,16,[92.19],92.19,99.81
RDKIT,1376,16,17,[52.47],52.47,99.81
RDKIT,1376,17,18,[5.95],5.95,99.81
RDKIT,1376,18,19,[44.47],44.47,99.81
RDKIT,1376,19,20,[28.9],28.9,99.81
RDKIT,1376,20,21,[92.03],92.03,99.81
RDKIT,1376,21,22,[83.85],83.85,99.81
RDKIT,1376,22,23,[95.48],95.48,99.81
RDKIT,1376,23,24,[81.63],81.63,99.81
RDKIT,1376,24,25,[89.95],89.95,99.81
RDKIT,1376,25,26,[50.74],50.74,99.81
RDKIT,1376,26,27,[68.17],68.17,99.81
RDKIT,1376,27,28,[87.59],87.59,99.81
RDKIT,1376,28,29,[9.96],9.96,99.81
RDKIT,1376,29,30,[62.04],62.04,99.81
RDKIT,1376,30,31,[96.64],96.64,99.81
RDKIT,1376,31,32,[2.13],2.13,99.81
RDKIT,1376,32,33,[19.71],19.71,99.81
RDKIT,1376,33,34,[24.11],24.11,99.81
RDKIT,1376,34,35,[83.22],83.22,99.81
RDKIT,1376,35,36,[3.04],3.04,99.81
RDKIT,1376,36,37,[50.7],50.7,99.81
RDKIT,1376,37,38,[100.0],100.0,100.0
RDKIT,1376,38,39,[36.73],36.73,100.0
RDKIT,1376,39,40,[98.49],98.49,100.0
RDKIT,1377,0,1,[0.0],0.0,0.0
RDKIT,1377,1,2,[23.51],23.51,23.51
RDKIT,1377,2,3,[2.65],2.65,23.51
RDKIT,1377,3,4,[40.02],40.02,40.02
RDKIT,1377,4,5,[0.0],0.0,40.02
RDKIT,1377,5,6,[33.65],33.65,40.02
RDKIT,1377,6,7,[32.71],32.71,40.02
RDKIT,1377,7,8,[16.51],16.51,40.02
RDKIT,1377,8,9,[43.22],43.22,43.22
RDKIT,1377,9,10,[54.52],54.52,54.52
RDKIT,1377,10,11,[26.97],26.97,54.52
RDKIT,1377,11,12,[88.41],88.41,88.41
RDKIT,1377,12,13,[1.68],1.68,88.41
RDKIT,1377,13,14,[0.0],0.0,88.41
RDKIT,1377,14,15,[18.38],18.38,88.41
RDKIT,1377,15,16,[7.88],7.88,88.41
RDKIT,1377,16,17,[86.14],86.14,88.41
RDKIT,1377,17,18,[38.79],38.79,88.41
RDKIT,1377,18,19,[23.71],23.71,88.41
RDKIT,1377,19,20,[66.03],66.03,88.41
RDKIT,1377,20,21,[77.01],77.01,88.41
RDKIT,1377,21,22,[6.23],6.23,88.41
RDKIT,1377,22,23,[0.0],0.0,88.41
RDKIT,1377,23,24,[44.22],44.22,88.41
RDKIT,1377,24,25,[53.43],53.43,88.41
RDKIT,1377,25,26,[44.28],44.28,88.41
RDKIT,1377,26,27,[5.38],5.38,88.41
RDKIT,1377,27,28,[3.6],3.6,88.41
RDKIT,1377,28,29,[50.74],50.74,88.41
RDKIT,1377,29,30,[12.23],12.23,88.41
RDKIT,1377,30,31,[0.0],0.0,88.41
RDKIT,1377,31,32,[5.22],5.22,88.41
RDKIT,1377,32,33,[5.75],5.75,88.41
RDKIT,1377,33,34,[2.41],2.41,88.41
RDKIT,1377,34,35,[1.12],1.12,88.41
RDKIT,1377,35,36,[78.44],78.44,88.41
RDKIT,1377,36,37,[48.34],48.34,88.41
RDKIT,1377,37,38,[13.79],13.79,88.41
RDKIT,1377,38,39,[0.0],0.0,88.41
RDKIT,1377,39,40,[72.21],72.21,88.41
RDKIT,1378,0,1,[0.0],0.0,0.0
RDKIT,1378,1,2,[11.65],11.65,11.65
RDKIT,1378,2,3,[10.59],10.59,11.65
RDKIT,1378,3,4,[14.24],14.24,14.24
RDKIT,1378,4,5,[89.14],89.14,89.14
RDKIT,1378,5,6,[6.48],6.48,89.14
RDKIT,1378,6,7,[0.0],0.0,89.14
RDKIT,1378,7,8,[5.4],5.4,89.14
RDKIT,1378,8,9,[52.08],52.08,89.14
RDKIT,1378,9,10,[3.14],3.14,89.14
RDKIT,1378,10,11,[5.65],5.65,89.14
RDKIT,1378,11,12,[12.25],12.25,89.14
RDKIT,1378,12,13,[28.9],28.9,89.14
RDKIT,1378,13,14,[14.53],14.53,89.14
RDKIT,1378,14,15,[12.34],12.34,89.14
RDKIT,1378,15,16,[76.66],76.66,89.14
RDKIT,1378,16,17,[77.52],77.52,89.14
RDKIT,1378,17,18,[50.74],50.74,89.14
RDKIT,1378,18,19,[89.95],89.95,89.95
RDKIT,1378,19,20,[96.64],96.64,96.64
RDKIT,1378,20,21,[33.69],33.69,96.64
RDKIT,1378,21,22,[95.48],95.48,96.64
RDKIT,1378,22,23,[29.51],29.51,96.64
RDKIT,1378,23,24,[83.22],83.22,96.64
RDKIT,1378,24,25,[92.03],92.03,96.64
RDKIT,1378,25,26,[2.13],2.13,96.64
RDKIT,1378,26,27,[87.59],87.59,96.64
RDKIT,1378,27,28,[26.39],26.39,96.64
RDKIT,1378,28,29,[81.63],81.63,96.64
RDKIT,1378,29,30,[21.88],21.88,96.64
RDKIT,1378,30,31,[72.24],72.24,96.64
RDKIT,1378,31,32,[80.65],80.65,96.64
RDKIT,1378,32,33,[2.77],2.77,96.64
RDKIT,1378,33,34,[65.32],65.32,96.64
RDKIT,1378,34,35,[81.48],81.48,96.64
RDKIT,1378,35,36,[45.85],45.85,96.64
RDKIT,1378,36,37,[51.32],51.32,96.64
RDKIT,1378,37,38,[50.7],50.7,96.64
RDKIT,1378,38,39,[92.19],92.19,96.64
RDKIT,1378,39,40,[83.85],83.85,96.64
RDKIT,1379,0,1,[12.98],12.98,12.98
RDKIT,1379,1,2,[30.17],30.17,30.17
RDKIT,1379,2,3,[10.77],10.77,30.17
RDKIT,1379,3,4,[0.74],0.74,30.17
RDKIT,1379,4,5,[25.64],25.64,30.17
RDKIT,1379,5,6,[5.15],5.15,30.17
RDKIT,1379,6,7,[10.13],10.13,30.17
RDKIT,1379,7,8,[8.95],8.95,30.17
RDKIT,1379,8,9,[0.0],0.0,30.17
