% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1346,1,4,"[5.22, 5.47]",5.47,51.37,
0,1346,2,6,"[5.03, 0.0]",5.03,51.37,
0,1346,3,8,"[0.0, 7.71]",7.71,51.37,
0,1346,4,10,"[42.62, 57.84]",57.84,57.84,
0,1346,5,12,"[24.59, 62.73]",62.73,62.73,
0,1346,6,14,"[46.75, 20.03]",46.75,62.73,
0,1346,7,16,"[88.82, 68.35]",88.82,88.82,
0,1346,8,18,"[67.57, 82.33]",82.33,88.82,
0,1346,9,20,"[7.69, 71.57]",71.57,88.82,
0,1347,0,2,"[31.38, 29.21]",31.38,31.38,
0,1347,1,4,"[5.22, 5.47]",5.47,31.38,
0,1347,2,6,"[5.03, 0.0]",5.03,31.38,
0,1347,3,8,"[37.73, 14.58]",37.73,37.73,
0,1347,4,10,"[40.02, 13.75]",40.02,40.02,
0,1347,5,12,"[46.99, 48.15]",48.15,48.15,
0,1347,6,14,"[43.52, 46.53]",46.53,48.15,
0,1347,7,16,"[59.81, 12.12]",59.81,59.81,
0,1347,8,18,"[3.1, 68.53]",68.53,68.53,
0,1347,9,20,"[56.14, 69.11]",69.11,69.11,
0,1348,0,2,"[82.33, 0.0]",82.33,82.33,
0,1348,1,4,"[5.22, 5.47]",5.47,82.33,
0,1348,2,6,"[5.03, 0.0]",5.03,82.33,
0,1348,3,8,"[0.0, 7.71]",7.71,82.33,
0,1348,4,10,"[67.57, 71.57]",71.57,82.33,
0,1348,5,12,"[57.95, 37.4]",57.95,82.33,
0,1348,6,14,"[88.82, 57.84]",88.82,88.82,
0,1348,7,16,"[7.69, 13.75]",13.75,88.82,
0,1348,8,18,"[81.63, 62.73]",81.63,88.82,
0,1348,9,20,"[87.59, 83.85]",87.59,88.82,
0,1349,0,2,"[7.71, 23.22]",23.22,23.22,
0,1349,1,4,"[5.22, 5.47]",5.47,23.22,
0,1349,2,6,"[5.03, 0.0]",5.03,23.22,
0,1349,3,8,"[0.0, 47.03]",47.03,47.03,
0,1349,4,10,"[78.95, 82.09]",82.09,82.09,
0,1349,5,12,"[68.33, 62.6]",68.33,82.09,
0,1349,6,14,"[8.4, 0.0]",8.4,82.09,
0,1349,7,16,"[28.64, 86.46]",86.46,86.46,
0,1349,8,18,"[74.04, 76.33]",76.33,86.46,
0,1349,9,20,"[30.15, 87.32]",87.32,87.32,
0,1350,0,2,"[0.0, 50.54]",50.54,50.54,
0,1350,1,4,"[5.22, 5.47]",5.47,50.54,
0,1350,2,6,"[5.03, 0.0]",5.03,50.54,
0,1350,3,8,"[0.0, 7.71]",7.71,50.54,
0,1350,4,10,"[47.03, 78.95]",78.95,78.95,
0,1350,5,12,"[82.09, 1.71]",82.09,82.09,
0,1350,6,14,"[68.33, 62.6]",68.33,82.09,
0,1350,7,16,"[0.0, 5.69]",5.69,82.09,
0,1350,8,18,"[28.64, 7.62]",28.64,82.09,
0,1350,9,20,"[75.12, 13.46]",75.12,82.09,
0,1351,0,2,"[0.0, 0.0]",0.0,0.0,
0,1351,1,4,"[5.22, 37.73]",37.73,37.73,
0,1351,2,6,"[5.47, 5.03]",5.47,37.73,
0,1351,3,8,"[13.75, 31.38]",31.38,37.73,
0,1351,4,10,"[49.4, 46.99]",49.4,49.4,
0,1351,5,12,"[73.59, 62.32]",73.59,73.59,
0,1351,6,14,"[76.02, 21.0]",76.02,76.02,
0,1351,7,16,"[9.59, 60.48]",60.48,76.02,
0,1351,8,18,"[29.06, 16.71]",29.06,76.02,
0,1351,9,20,"[87.59, 91.11]",91.11,91.11,
0,1352,0,2,"[39.55, 6.93]",39.55,39.55,
0,1352,1,4,"[5.22, 5.47]",5.47,39.55,
0,1352,2,6,"[5.03, 0.0]",5.03,39.55,
0,1352,3,8,"[0.0, 7.71]",7.71,39.55,
0,1352,4,10,"[75.28, 24.59]",75.28,75.28,
0,1352,5,12,"[83.85, 8.21]",83.85,83.85,
0,1352,6,14,"[87.59, 91.11]",91.11,91.11,
0,1352,7,16,"[89.76, 70.51]",89.76,91.11,
0,1352,8,18,"[40.02, 42.62]",42.62,91.11,
0,1352,9,20,"[3.28, 5.3]",5.3,91.11,
0,1353,0,2,"[0.0, 84.17]",84.17,84.17,
0,1353,1,4,"[5.22, 5.47]",5.47,84.17,
0,1353,2,6,"[5.03, 0.0]",5.03,84.17,
0,1353,3,8,"[0.0, 7.71]",7.71,84.17,
0,1353,4,10,"[47.03, 78.95]",78.95,84.17,
0,1353,5,12,"[7.69, 59.81]",59.81,84.17,
0,1353,6,14,"[82.09, 1.71]",82.09,84.17,
0,1353,7,16,"[7.26, 24.56]",24.56,84.17,
0,1353,8,18,"[62.6, 56.57]",62.6,84.17,
0,1353,9,20,"[68.33, 83.83]",83.83,84.17,
0,1354,0,2,"[0.0, 2.83]",2.83,2.83,
0,1354,1,4,"[5.22, 5.47]",5.47,5.47,
0,1354,2,6,"[5.03, 0.0]",5.03,5.47,
0,1354,3,8,"[0.07, 17.09]",17.09,17.09,
0,1354,4,10,"[0.0, 7.71]",7.71,17.09,
0,1354,5,12,"[47.03, 78.95]",78.95,78.95,
0,1354,6,14,"[82.09, 62.6]",82.09,82.09,
0,1354,7,16,"[68.33, 0.0]",68.33,82.09,
0,1354,8,18,"[28.64, 17.43]",28.64,82.09,
0,1354,9,20,"[74.04, 29.31]",74.04,82.09,
0,1355,0,2,"[56.45, 37.4]",56.45,56.45,
0,1355,1,4,"[5.22, 5.47]",5.47,56.45,
0,1355,2,6,"[5.03, 0.0]",5.03,56.45,
0,1355,3,8,"[0.0, 7.71]",7.71,56.45,
0,1355,4,10,"[40.02, 48.15]",48.15,56.45,
0,1355,5,12,"[3.28, 16.47]",16.47,56.45,
0,1355,6,14,"[43.52, 70.51]",70.51,70.51,
0,1355,7,16,"[67.57, 42.62]",67.57,70.51,
0,1355,8,18,"[88.82, 40.85]",88.82,88.82,
0,1355,9,20,"[7.69, 82.33]",82.33,88.82,
0,1356,0,2,"[85.24, 0.0]",85.24,85.24,
