% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,0,0,2,"[22.07, 88.89]",88.89,88.89,
0,0,1,4,"[76.59, 55.96]",76.59,88.89,
0,0,2,6,"[66.84, 6.22]",66.84,88.89,
0,0,3,8,"[5.69, 10.51]",10.51,88.89,
0,0,4,10,"[82.09, 3.14]",82.09,88.89,
0,0,5,12,"[8.52, 4.78]",8.52,88.89,
0,0,6,14,"[89.95, 3.18]",89.95,89.95,
0,0,7,16,"[92.03, 99.81]",99.81,99.81,
0,0,8,18,"[92.19, 99.22]",99.22,99.81,
0,0,9,20,"[98.38, 95.48]",98.38,99.81,
0,1,0,2,"[0.0, 0.0]",0.0,0.0,
0,1,1,4,"[7.03, 11.91]",11.91,11.91,
0,1,2,6,"[44.53, 0.0]",44.53,44.53,
0,1,3,8,"[35.61, 47.58]",47.58,47.58,
0,1,4,10,"[27.93, 24.11]",27.93,47.58,
0,1,5,12,"[29.51, 18.38]",29.51,47.58,
0,1,6,14,"[2.98, 3.8]",3.8,47.58,
0,1,7,16,"[0.0, 84.81]",84.81,84.81,
0,1,8,18,"[80.61, 88.41]",88.41,88.41,
0,1,9,20,"[38.48, 77.58]",77.58,88.41,
0,2,0,2,"[0.0, 17.56]",17.56,17.56,
0,2,1,4,"[49.57, 4.02]",49.57,49.57,
0,2,2,6,"[26.29, 18.89]",26.29,49.57,
0,2,3,8,"[37.36, 62.15]",62.15,62.15,
0,2,4,10,"[68.31, 26.97]",68.31,68.31,
0,2,5,12,"[70.8, 48.34]",70.8,70.8,
0,2,6,14,"[61.67, 84.67]",84.67,84.67,
0,2,7,16,"[88.41, 84.49]",88.41,88.41,
0,2,8,18,"[88.41, 6.23]",88.41,88.41,
0,2,9,20,"[84.81, 77.58]",84.81,88.41,
0,3,0,2,"[0.0, 62.6]",62.6,62.6,
0,3,1,4,"[68.33, 0.0]",68.33,68.33,
0,3,2,6,"[14.24, 76.59]",76.59,76.59,
0,3,3,8,"[45.01, 82.09]",82.09,82.09,
0,3,4,10,"[88.89, 5.69]",88.89,88.89,
0,3,5,12,"[12.01, 77.58]",77.58,88.89,
0,3,6,14,"[62.07, 84.67]",84.67,88.89,
0,3,7,16,"[84.49, 5.03]",84.49,88.89,
0,3,8,18,"[88.41, 48.34]",88.41,88.89,
0,3,9,20,"[84.81, 73.71]",84.81,88.89,
0,4,0,2,"[2.48, 0.0]",2.48,2.48,
0,4,1,4,"[4.06, 13.46]",13.46,13.46,
0,4,2,6,"[5.65, 22.07]",22.07,22.07,
0,4,3,8,"[82.13, 81.48]",82.13,82.13,
0,4,4,10,"[89.14, 8.9]",89.14,89.14,
0,4,5,12,"[85.21, 21.88]",85.21,89.14,
0,4,6,14,"[3.14, 96.64]",96.64,96.64,
0,4,7,16,"[95.48, 98.38]",98.38,98.38,
0,4,8,18,"[99.81, 99.22]",99.81,99.81,
0,4,9,20,"[92.19, 89.95]",92.19,99.81,
0,5,0,2,"[0.0, 0.0]",0.0,0.0,
0,5,1,4,"[6.48, 4.78]",6.48,6.48,
0,5,2,6,"[4.06, 85.21]",85.21,85.21,
0,5,3,8,"[75.12, 39.57]",75.12,85.21,
0,5,4,10,"[43.12, 7.88]",43.12,85.21,
0,5,5,12,"[20.72, 5.95]",20.72,85.21,
0,5,6,14,"[98.38, 52.08]",98.38,98.38,
0,5,7,16,"[83.22, 99.22]",99.22,99.22,
0,5,8,18,"[99.81, 92.19]",99.81,99.81,
0,5,9,20,"[92.03, 45.73]",92.03,99.81,
0,6,0,2,"[14.01, 77.01]",77.01,77.01,
0,6,1,4,"[72.21, 71.43]",72.21,77.01,
0,6,2,6,"[78.6, 59.81]",78.6,78.6,
0,6,3,8,"[25.77, 0.0]",25.77,78.6,
0,6,4,10,"[56.57, 61.67]",61.67,78.6,
0,6,5,12,"[39.32, 84.67]",84.67,84.67,
0,6,6,14,"[84.81, 80.39]",84.81,84.81,
0,6,7,16,"[84.49, 77.58]",84.49,84.81,
0,6,8,18,"[6.23, 38.48]",38.48,84.81,
0,6,9,20,"[88.41, 5.95]",88.41,88.41,
0,7,0,2,"[21.25, 74.3]",74.3,74.3,
0,7,1,4,"[78.6, 68.17]",78.6,78.6,
0,7,2,6,"[83.62, 14.73]",83.62,83.62,
0,7,3,8,"[60.48, 50.7]",60.48,83.62,
0,7,4,10,"[78.93, 16.71]",78.93,83.62,
0,7,5,12,"[76.02, 30.15]",76.02,83.62,
0,7,6,14,"[40.26, 53.11]",53.11,83.62,
0,7,7,16,"[12.25, 23.81]",23.81,83.62,
0,7,8,18,"[29.06, 99.22]",99.22,99.22,
0,7,9,20,"[98.38, 92.19]",98.38,99.22,
0,8,0,2,"[16.64, 78.6]",78.6,78.6,
0,8,1,4,"[43.22, 71.43]",71.43,78.6,
0,8,2,6,"[77.01, 25.77]",77.01,78.6,
0,8,3,8,"[0.0, 76.24]",76.24,78.6,
0,8,4,10,"[48.91, 73.71]",73.71,78.6,
0,8,5,12,"[84.67, 61.67]",84.67,84.67,
0,8,6,14,"[84.49, 88.41]",88.41,88.41,
0,8,7,16,"[80.61, 88.41]",88.41,88.41,
0,8,8,18,"[84.81, 77.58]",84.81,88.41,
0,8,9,20,"[38.48, 39.32]",39.32,88.41,
0,9,0,2,"[0.0, 0.0]",0.0,0.0,
0,9,1,4,"[6.48, 0.0]",6.48,6.48,
0,9,2,6,"[4.06, 6.87]",6.87,6.87,
0,9,3,8,"[43.12, 20.72]",43.12,43.12,
0,9,4,10,"[13.46, 85.21]",85.21,85.21,
0,9,5,12,"[75.12, 39.57]",75.12,85.21,
0,9,6,14,"[7.88, 5.95]",7.88,85.21,
0,9,7,16,"[98.38, 52.08]",98.38,98.38,
0,9,8,18,"[96.64, 99.22]",99.22,99.22,
0,9,9,20,"[87.59, 95.48]",95.48,99.22,
0,10,0,2,"[0.0, 22.87]",22.87,22.87,
0,10,1,4,"[59.05, 7.02]",59.05,59.05,
0,10,2,6,"[48.91, 25.67]",48.91,59.05,
0,10,3,8,"[48.34, 0.0]",48.34,59.05,
0,10,4,10,"[84.49, 68.31]",84.49,84.49,
0,10,5,12,"[84.67, 70.8]",84.67,84.67,
0,10,6,14,"[88.41, 77.01]",88.41,88.41,
0,10,7,16,"[78.44, 43.22]",78.44,88.41,
0,10,8,18,"[84.81, 45.62]",84.81,88.41,
0,10,9,20,"[77.58, 18.61]",77.58,88.41,
0,11,0,2,"[0.0, 21.88]",21.88,21.88,
0,11,1,4,"[20.72, 16.07]",20.72,21.88,
0,11,2,6,"[23.5, 7.03]",23.5,23.5,
0,11,3,8,"[4.06, 69.13]",69.13,69.13,
0,11,4,10,"[17.0, 69.03]",69.03,69.13,
0,11,5,12,"[58.48, 46.53]",58.48,69.13,
0,11,6,14,"[54.26, 36.46]",54.26,69.13,
0,11,7,16,"[77.01, 78.44]",78.44,78.44,
0,11,8,18,"[71.43, 59.81]",71.43,78.44,
0,11,9,20,"[84.17, 78.6]",84.17,84.17,
0,12,0,2,"[10.59, 53.61]",53.61,53.61,
0,12,1,4,"[74.3, 0.0]",74.3,74.3,
0,12,2,6,"[52.08, 68.17]",68.17,74.3,
0,12,3,8,"[29.06, 53.02]",53.02,74.3,
0,12,4,10,"[78.93, 30.17]",78.93,78.93,
0,12,5,12,"[21.09, 14.29]",21.09,78.93,
0,12,6,14,"[9.72, 61.33]",61.33,78.93,
0,12,7,16,"[14.06, 0.89]",14.06,78.93,
0,12,8,18,"[54.83, 49.17]",54.83,78.93,
0,12,9,20,"[76.02, 26.48]",76.02,78.93,
0,13,0,2,"[0.0, 26.29]",26.29,26.29,
0,13,1,4,"[26.52, 8.39]",26.52,26.52,
0,13,2,6,"[37.36, 55.8]",55.8,55.8,
0,13,3,8,"[62.15, 26.97]",62.15,62.15,
0,13,4,10,"[68.31, 70.8]",70.8,70.8,
0,13,5,12,"[84.49, 0.0]",84.49,84.49,
0,13,6,14,"[48.34, 88.41]",88.41,88.41,
0,13,7,16,"[84.67, 88.41]",88.41,88.41,
0,13,8,18,"[84.81, 77.58]",84.81,88.41,
0,13,9,20,"[6.23, 77.01]",77.01,88.41,
0,14,0,2,"[9.35, 11.31]",11.31,11.31,
0,14,1,4,"[25.86, 35.43]",35.43,35.43,
0,14,2,6,"[13.52, 26.48]",26.48,35.43,
0,14,3,8,"[38.63, 43.18]",43.18,43.18,
0,14,4,10,"[66.9, 36.18]",66.9,66.9,
0,14,5,12,"[33.65, 21.74]",33.65,66.9,
0,14,6,14,"[0.0, 50.55]",50.55,66.9,
0,14,7,16,"[42.63, 58.48]",58.48,66.9,
0,14,8,18,"[45.37, 69.03]",69.03,69.03,
0,14,9,20,"[69.13, 25.77]",69.13,69.13,
0,15,0,2,"[69.13, 55.8]",69.13,69.13,
0,15,1,4,"[40.61, 50.55]",50.55,69.13,
0,15,2,6,"[69.03, 17.0]",69.03,69.13,
0,15,3,8,"[53.81, 77.01]",77.01,77.01,
0,15,4,10,"[72.21, 71.43]",72.21,77.01,
0,15,5,12,"[78.44, 84.49]",84.49,84.49,
0,15,6,14,"[80.39, 48.34]",80.39,84.49,
0,15,7,16,"[88.41, 84.67]",88.41,88.41,
0,15,8,18,"[77.58, 2.79]",77.58,88.41,
0,15,9,20,"[4.08, 61.67]",61.67,88.41,
0,16,0,2,"[8.24, 13.75]",13.75,13.75,
0,16,1,4,"[40.02, 19.04]",40.02,40.02,
0,16,2,6,"[53.11, 31.53]",53.11,53.11,
0,16,3,8,"[49.48, 78.93]",78.93,78.93,
0,16,4,10,"[50.7, 52.08]",52.08,78.93,
0,16,5,12,"[68.17, 31.43]",68.17,78.93,
0,16,6,14,"[61.33, 2.64]",61.33,78.93,
0,16,7,16,"[14.06, 0.89]",14.06,78.93,
0,16,8,18,"[27.88, 26.48]",27.88,78.93,
0,16,9,20,"[76.02, 23.8]",76.02,78.93,
0,17,0,2,"[0.0, 99.22]",99.22,99.22,
0,17,1,4,"[95.48, 62.33]",95.48,99.22,
0,17,2,6,"[83.22, 83.85]",83.85,99.22,
0,17,3,8,"[62.73, 99.98]",99.98,99.98,
0,17,4,10,"[76.66, 71.81]",76.66,99.98,
0,17,5,12,"[80.86, 36.46]",80.86,99.98,
0,17,6,14,"[88.82, 99.81]",99.81,99.98,
0,17,7,16,"[89.95, 0.0]",89.95,99.98,
0,17,8,18,"[81.63, 20.72]",81.63,99.98,
0,17,9,20,"[87.59, 92.19]",92.19,99.98,
0,18,0,2,"[0.0, 28.06]",28.06,28.06,
0,18,1,4,"[84.64, 2.15]",84.64,84.64,
0,18,2,6,"[76.33, 89.71]",89.71,89.71,
0,18,3,8,"[78.19, 91.27]",91.27,91.27,
0,18,4,10,"[45.85, 6.18]",45.85,91.27,
0,18,5,12,"[86.46, 14.24]",86.46,91.27,
0,18,6,14,"[2.35, 9.46]",9.46,91.27,
0,18,7,16,"[38.48, 50.7]",50.7,91.27,
0,18,8,18,"[62.04, 0.0]",62.04,91.27,
0,18,9,20,"[74.3, 78.93]",78.93,91.27,
