% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1346,1,4,"[2.41, 5.47]",5.47,38.53,
0,1346,2,6,"[5.49, 0.12]",5.49,38.53,
0,1346,3,8,"[0.0, 0.0]",0.0,38.53,
0,1346,4,10,"[32.43, 50.69]",50.69,50.69,
0,1346,5,12,"[45.01, 80.69]",80.69,80.69,
0,1346,6,14,"[53.25, 19.28]",53.25,80.69,
0,1346,7,16,"[41.64, 68.35]",68.35,80.69,
0,1346,8,18,"[96.38, 6.96]",96.38,96.38,
0,1346,9,20,"[50.75, 82.33]",82.33,96.38,
0,1347,0,2,"[34.47, 27.71]",34.47,34.47,
0,1347,1,4,"[2.41, 5.47]",5.47,34.47,
0,1347,2,6,"[5.49, 0.12]",5.49,34.47,
0,1347,3,8,"[0.0, 0.0]",0.0,34.47,
0,1347,4,10,"[52.69, 14.84]",52.69,52.69,
0,1347,5,12,"[57.68, 31.29]",57.68,57.68,
0,1347,6,14,"[29.82, 37.71]",37.71,57.68,
0,1347,7,16,"[7.88, 23.1]",23.1,57.68,
0,1347,8,18,"[64.46, 46.99]",64.46,64.46,
0,1347,9,20,"[73.59, 55.96]",73.59,73.59,
0,1348,0,2,"[82.33, 0.0]",82.33,82.33,
0,1348,1,4,"[2.41, 5.47]",5.47,82.33,
0,1348,2,6,"[5.49, 0.12]",5.49,82.33,
0,1348,3,8,"[0.0, 0.0]",0.0,82.33,
0,1348,4,10,"[50.75, 65.69]",65.69,82.33,
0,1348,5,12,"[67.85, 38.53]",67.85,82.33,
0,1348,6,14,"[96.38, 25.08]",96.38,96.38,
0,1348,7,16,"[6.4, 28.37]",28.37,96.38,
0,1348,8,18,"[53.52, 80.69]",80.69,96.38,
0,1348,9,20,"[41.1, 16.46]",41.1,96.38,
0,1349,0,2,"[0.0, 21.43]",21.43,21.43,
0,1349,1,4,"[2.41, 5.47]",5.47,21.43,
0,1349,2,6,"[5.49, 0.12]",5.49,21.43,
0,1349,3,8,"[0.0, 68.71]",68.71,68.71,
0,1349,4,10,"[78.95, 57.33]",78.95,78.95,
0,1349,5,12,"[28.64, 29.31]",29.31,78.95,
0,1349,6,14,"[6.17, 0.0]",6.17,78.95,
0,1349,7,16,"[28.15, 63.13]",63.13,78.95,
0,1349,8,18,"[71.11, 52.05]",71.11,78.95,
0,1349,9,20,"[2.77, 45.28]",45.28,78.95,
0,1350,0,2,"[0.0, 50.54]",50.54,50.54,
0,1350,1,4,"[2.41, 5.47]",5.47,50.54,
0,1350,2,6,"[5.49, 0.12]",5.49,50.54,
0,1350,3,8,"[0.0, 0.0]",0.0,50.54,
0,1350,4,10,"[2.41, 12.77]",12.77,50.54,
0,1350,5,12,"[68.71, 78.95]",78.95,78.95,
0,1350,6,14,"[57.33, 6.22]",57.33,78.95,
0,1350,7,16,"[28.64, 29.31]",29.31,78.95,
0,1350,8,18,"[0.0, 6.39]",6.39,78.95,
