% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,0,0,2,"[0.0, 0.0]",0.0,0.0,
0,0,1,4,"[5.16, 6.38]",6.38,6.38,
0,0,2,6,"[10.98, 0.0]",10.98,10.98,
0,0,3,8,"[29.51, 6.22]",29.51,29.51,
0,0,4,10,"[26.22, 35.61]",35.61,35.61,
0,0,5,12,"[18.38, 0.0]",18.38,35.61,
0,0,6,14,"[0.0, 3.04]",3.04,35.61,
0,0,7,16,"[88.41, 38.48]",88.41,88.41,
0,0,8,18,"[77.58, 89.17]",89.17,89.17,
0,0,9,20,"[79.33, 43.2]",79.33,89.17,
0,1,0,2,"[0.0, 38.68]",38.68,38.68,
0,1,1,4,"[25.62, 43.05]",43.05,43.05,
0,1,2,6,"[26.52, 24.06]",26.52,43.05,
0,1,3,8,"[8.69, 26.12]",26.12,43.05,
0,1,4,10,"[29.85, 0.0]",29.85,43.05,
0,1,5,12,"[53.43, 21.43]",53.43,53.43,
0,1,6,14,"[54.41, 22.31]",54.41,54.41,
0,1,7,16,"[54.52, 34.98]",54.52,54.52,
0,1,8,18,"[0.0, 72.89]",72.89,72.89,
0,1,9,20,"[72.21, 72.9]",72.9,72.9,
0,2,0,2,"[15.26, 46.17]",46.17,46.17,
0,2,1,4,"[39.86, 36.9]",39.86,46.17,
0,2,2,6,"[28.17, 58.13]",58.13,58.13,
0,2,3,8,"[75.46, 31.51]",75.46,75.46,
0,2,4,10,"[77.52, 43.22]",77.52,77.52,
0,2,5,12,"[50.74, 26.39]",50.74,77.52,
0,2,6,14,"[19.71, 0.0]",19.71,77.52,
0,2,7,16,"[76.85, 11.26]",76.85,77.52,
0,2,8,18,"[11.18, 17.45]",17.45,77.52,
0,2,9,20,"[64.48, 67.85]",67.85,77.52,
0,3,0,2,"[12.61, 0.0]",12.61,12.61,
0,3,1,4,"[1.85, 22.02]",22.02,22.02,
0,3,2,6,"[3.14, 34.4]",34.4,34.4,
0,3,3,8,"[13.52, 30.02]",30.02,34.4,
0,3,4,10,"[27.16, 0.0]",27.16,34.4,
0,3,5,12,"[22.92, 66.9]",66.9,66.9,
0,3,6,14,"[48.88, 33.65]",48.88,66.9,
0,3,7,16,"[21.74, 50.55]",50.55,66.9,
0,3,8,18,"[42.63, 29.57]",42.63,66.9,
0,3,9,20,"[43.05, 54.26]",54.26,66.9,
0,4,0,2,"[79.33, 0.0]",79.33,79.33,
0,4,1,4,"[88.41, 52.77]",88.41,88.41,
0,4,2,6,"[77.58, 38.48]",77.58,88.41,
0,4,3,8,"[1.85, 80.77]",80.77,88.41,
0,4,4,10,"[68.86, 61.86]",68.86,88.41,
0,4,5,12,"[72.89, 54.41]",72.89,88.41,
0,4,6,14,"[30.83, 61.71]",61.71,88.41,
0,4,7,16,"[89.17, 43.22]",89.17,89.17,
0,4,8,18,"[7.02, 21.74]",21.74,89.17,
0,4,9,20,"[55.4, 41.69]",55.4,89.17,
0,5,0,2,"[1.95, 5.59]",5.59,5.59,
0,5,1,4,"[4.15, 87.62]",87.62,87.62,
0,5,2,6,"[72.24, 89.14]",89.14,89.14,
0,5,3,8,"[81.48, 82.13]",82.13,89.14,
0,5,4,10,"[5.4, 21.88]",21.88,89.14,
0,5,5,12,"[2.72, 3.14]",3.14,89.14,
0,5,6,14,"[96.64, 62.04]",96.64,96.64,
0,5,7,16,"[95.48, 30.41]",95.48,96.64,
