% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1337,0,2,"[10.44, 87.83]",87.83,87.83,
0,1337,1,4,"[23.51, 0.0]",23.51,87.83,
0,1337,2,6,"[47.03, 33.65]",47.03,87.83,
0,1337,3,8,"[0.0, 28.11]",28.11,87.83,
0,1337,4,10,"[5.03, 67.63]",67.63,87.83,
0,1337,5,12,"[16.28, 7.8]",16.28,87.83,
0,1337,6,14,"[89.71, 13.09]",89.71,89.71,
0,1337,7,16,"[36.96, 95.48]",95.48,95.48,
0,1337,8,18,"[81.63, 38.65]",81.63,95.48,
0,1337,9,20,"[66.84, 92.03]",92.03,95.48,
0,1338,0,2,"[67.21, 5.85]",67.21,67.21,
0,1338,1,4,"[23.5, 2.65]",23.5,67.21,
0,1338,2,6,"[7.71, 26.74]",26.74,67.21,
0,1338,3,8,"[2.72, 17.45]",17.45,67.21,
0,1338,4,10,"[6.22, 31.14]",31.14,67.21,
0,1338,5,12,"[89.95, 81.63]",89.95,89.95,
0,1338,6,14,"[87.59, 92.03]",92.03,92.03,
0,1338,7,16,"[50.7, 83.85]",83.85,92.03,
0,1338,8,18,"[0.0, 14.24]",14.24,92.03,
0,1338,9,20,"[60.48, 95.48]",95.48,95.48,
0,1339,0,2,"[75.28, 0.0]",75.28,75.28,
0,1339,1,4,"[78.6, 0.0]",78.6,78.6,
0,1339,2,6,"[75.12, 8.04]",75.12,78.6,
0,1339,3,8,"[83.22, 2.72]",83.22,83.22,
0,1339,4,10,"[82.09, 21.34]",82.09,83.22,
0,1339,5,12,"[3.59, 81.63]",81.63,83.22,
0,1339,6,14,"[89.95, 4.08]",89.95,89.95,
0,1339,7,16,"[30.41, 87.59]",87.59,89.95,
0,1339,8,18,"[76.02, 83.85]",83.85,89.95,
0,1339,9,20,"[86.46, 71.57]",86.46,89.95,
0,1340,0,2,"[0.0, 62.32]",62.32,62.32,
0,1340,1,4,"[0.0, 8.31]",8.31,62.32,
0,1340,2,6,"[14.53, 83.85]",83.85,83.85,
0,1340,3,8,"[17.43, 12.23]",17.43,83.85,
0,1340,4,10,"[83.22, 0.0]",83.22,83.85,
0,1340,5,12,"[55.7, 57.84]",57.84,83.85,
0,1340,6,14,"[81.63, 67.57]",81.63,83.85,
0,1340,7,16,"[87.59, 95.48]",95.48,95.48,
0,1340,8,18,"[3.14, 89.95]",89.95,95.48,
0,1340,9,20,"[23.81, 11.26]",23.81,95.48,
0,1341,0,2,"[0.0, 0.0]",0.0,0.0,
0,1341,1,4,"[2.72, 0.0]",2.72,2.72,
0,1341,2,6,"[21.65, 2.48]",21.65,21.65,
0,1341,3,8,"[62.04, 9.6]",62.04,62.04,
0,1341,4,10,"[83.22, 12.25]",83.22,83.22,
0,1341,5,12,"[87.59, 95.48]",95.48,95.48,
0,1341,6,14,"[81.63, 92.03]",92.03,95.48,
0,1341,7,16,"[89.95, 1.68]",89.95,95.48,
0,1341,8,18,"[30.41, 19.71]",30.41,95.48,
0,1341,9,20,"[26.22, 0.0]",26.22,95.48,
0,1342,0,2,"[5.5, 2.82]",5.5,5.5,
0,1342,1,4,"[26.28, 0.0]",26.28,26.28,
0,1342,2,6,"[16.04, 9.35]",16.04,26.28,
0,1342,3,8,"[2.83, 26.3]",26.3,26.3,
0,1342,4,10,"[21.46, 37.73]",37.73,37.73,
0,1342,5,12,"[40.02, 46.53]",46.53,46.53,
0,1342,6,14,"[50.79, 12.12]",50.79,50.79,
0,1342,7,16,"[29.25, 37.36]",37.36,50.79,
0,1342,8,18,"[39.5, 51.99]",51.99,51.99,
0,1342,9,20,"[0.0, 43.18]",43.18,51.99,
0,1343,0,2,"[0.0, 16.51]",16.51,16.51,
0,1343,1,4,"[20.5, 0.0]",20.5,20.5,
0,1343,2,6,"[2.72, 8.4]",8.4,20.5,
0,1343,3,8,"[37.93, 5.16]",37.93,37.93,
0,1343,4,10,"[12.91, 31.38]",31.38,37.93,
0,1343,5,12,"[51.32, 25.0]",51.32,51.32,
0,1343,6,14,"[0.0, 57.18]",57.18,57.18,
0,1343,7,16,"[70.51, 18.9]",70.51,70.51,
0,1343,8,18,"[77.52, 71.57]",77.52,77.52,
0,1343,9,20,"[75.46, 19.71]",75.46,77.52,
0,1344,0,2,"[2.48, 87.59]",87.59,87.59,
0,1344,1,4,"[23.81, 0.0]",23.81,87.59,
0,1344,2,6,"[7.71, 37.4]",37.4,87.59,
0,1344,3,8,"[26.29, 12.23]",26.29,87.59,
0,1344,4,10,"[30.41, 27.93]",30.41,87.59,
0,1344,5,12,"[68.33, 42.62]",68.33,87.59,
0,1344,6,14,"[0.26, 6.44]",6.44,87.59,
0,1344,7,16,"[44.96, 0.0]",44.96,87.59,
0,1344,8,18,"[81.63, 92.03]",92.03,92.03,
0,1344,9,20,"[89.95, 83.85]",89.95,92.03,
0,1345,0,2,"[18.22, 9.46]",18.22,18.22,
0,1345,1,4,"[45.87, 0.0]",45.87,45.87,
0,1345,2,6,"[14.53, 2.21]",14.53,45.87,
0,1345,3,8,"[0.0, 89.14]",89.14,89.14,
0,1345,4,10,"[1.68, 21.88]",21.88,89.14,
0,1345,5,12,"[82.13, 5.4]",82.13,89.14,
0,1345,6,14,"[70.26, 89.95]",89.95,89.95,
0,1345,7,16,"[87.59, 2.15]",87.59,89.95,
0,1345,8,18,"[96.64, 92.03]",96.64,96.64,
0,1345,9,20,"[95.48, 46.42]",95.48,96.64,
0,1346,0,2,"[0.0, 3.6]",3.6,3.6,
0,1346,1,4,"[0.99, 11.72]",11.72,11.72,
0,1346,2,6,"[62.32, 0.0]",62.32,62.32,
0,1346,3,8,"[21.46, 83.85]",83.85,83.85,
0,1346,4,10,"[17.43, 26.74]",26.74,83.85,
0,1346,5,12,"[83.22, 0.0]",83.22,83.85,
0,1346,6,14,"[87.59, 81.63]",87.59,87.59,
0,1346,7,16,"[75.12, 89.95]",89.95,89.95,
0,1346,8,18,"[82.13, 76.66]",82.13,89.95,
0,1346,9,20,"[96.64, 16.07]",96.64,96.64,
0,1347,0,2,"[0.0, 0.0]",0.0,0.0,
0,1347,1,4,"[2.72, 13.89]",13.89,13.89,
0,1347,2,6,"[1.96, 15.21]",15.21,15.21,
0,1347,3,8,"[60.48, 31.38]",60.48,60.48,
0,1347,4,10,"[14.53, 83.22]",83.22,83.22,
0,1347,5,12,"[87.59, 46.75]",87.59,87.59,
0,1347,6,14,"[68.33, 83.85]",83.85,87.59,
0,1347,7,16,"[89.95, 81.63]",89.95,89.95,
0,1347,8,18,"[28.53, 92.03]",92.03,92.03,
0,1347,9,20,"[75.28, 75.46]",75.46,92.03,
0,1348,0,2,"[2.45, 8.16]",8.16,8.16,
0,1348,1,4,"[2.55, 0.0]",2.55,8.16,
0,1348,2,6,"[28.53, 12.61]",28.53,28.53,
0,1348,3,8,"[3.33, 0.0]",3.33,28.53,
0,1348,4,10,"[10.12, 87.59]",87.59,87.59,
0,1348,5,12,"[83.85, 40.85]",83.85,87.59,
0,1348,6,14,"[62.32, 92.03]",92.03,92.03,
0,1348,7,16,"[89.95, 65.32]",89.95,92.03,
0,1348,8,18,"[29.51, 0.0]",29.51,92.03,
0,1348,9,20,"[10.59, 19.71]",19.71,92.03,
0,1349,0,2,"[0.86, 0.0]",0.86,0.86,
0,1349,1,4,"[12.12, 0.0]",12.12,12.12,
0,1349,2,6,"[22.07, 37.73]",37.73,37.73,
0,1349,3,8,"[62.32, 7.59]",62.32,62.32,
0,1349,4,10,"[60.48, 83.85]",83.85,83.85,
0,1349,5,12,"[87.59, 81.63]",87.59,87.59,
0,1349,6,14,"[89.95, 55.7]",89.95,89.95,
0,1349,7,16,"[2.82, 33.69]",33.69,89.95,
0,1349,8,18,"[82.09, 96.64]",96.64,96.64,
0,1349,9,20,"[3.14, 76.66]",76.66,96.64,
0,1350,0,2,"[2.44, 0.0]",2.44,2.44,
0,1350,1,4,"[11.26, 2.65]",11.26,11.26,
0,1350,2,6,"[1.26, 75.46]",75.46,75.46,
0,1350,3,8,"[92.03, 67.57]",92.03,92.03,
0,1350,4,10,"[95.48, 33.69]",95.48,95.48,
0,1350,5,12,"[1.62, 81.63]",81.63,95.48,
0,1350,6,14,"[65.32, 59.82]",65.32,95.48,
0,1350,7,16,"[96.64, 83.85]",96.64,96.64,
0,1350,8,18,"[29.51, 89.95]",89.95,96.64,
0,1350,9,20,"[3.14, 88.89]",88.89,96.64,
0,1351,0,2,"[17.93, 3.1]",17.93,17.93,
0,1351,1,4,"[72.24, 7.59]",72.24,72.24,
0,1351,2,6,"[0.0, 7.82]",7.82,72.24,
0,1351,3,8,"[2.72, 12.39]",12.39,72.24,
0,1351,4,10,"[60.48, 20.5]",60.48,72.24,
0,1351,5,12,"[9.59, 96.64]",96.64,96.64,
0,1351,6,14,"[88.89, 83.22]",88.89,96.64,
0,1351,7,16,"[95.48, 31.14]",95.48,96.64,
0,1351,8,18,"[3.14, 66.84]",66.84,96.64,
0,1351,9,20,"[45.85, 89.95]",89.95,96.64,
0,1352,0,2,"[18.72, 1.26]",18.72,18.72,
0,1352,1,4,"[2.55, 0.0]",2.55,18.72,
0,1352,2,6,"[0.0, 2.72]",2.72,18.72,
0,1352,3,8,"[38.03, 29.25]",38.03,38.03,
0,1352,4,10,"[5.03, 17.92]",17.92,38.03,
0,1352,5,12,"[0.0, 3.0]",3.0,38.03,
0,1352,6,14,"[20.08, 16.04]",20.08,38.03,
0,1352,7,16,"[26.5, 48.21]",48.21,48.21,
0,1352,8,18,"[36.72, 48.64]",48.64,48.64,
0,1352,9,20,"[39.5, 5.29]",39.5,48.64,
0,1353,0,2,"[3.59, 0.04]",3.59,3.59,
0,1353,1,4,"[70.26, 0.0]",70.26,70.26,
0,1353,2,6,"[62.32, 0.99]",62.32,70.26,
0,1353,3,8,"[0.0, 16.71]",16.71,70.26,
0,1353,4,10,"[14.53, 75.12]",75.12,75.12,
0,1353,5,12,"[67.63, 20.08]",67.63,75.12,
0,1353,6,14,"[89.14, 76.33]",89.14,89.14,
0,1353,7,16,"[45.85, 92.03]",92.03,92.03,
0,1353,8,18,"[89.95, 26.22]",89.95,92.03,
0,1353,9,20,"[95.48, 14.24]",95.48,95.48,
0,1354,0,2,"[17.54, 0.0]",17.54,17.54,
0,1354,1,4,"[1.71, 8.31]",8.31,17.54,
0,1354,2,6,"[0.0, 13.13]",13.13,17.54,
0,1354,3,8,"[0.99, 21.8]",21.8,21.8,
0,1354,4,10,"[2.65, 26.52]",26.52,26.52,
