% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1346,1,4,"[10.59, 5.4]",10.59,52.47,
0,1346,2,6,"[4.3, 76.66]",76.66,76.66,
0,1346,3,8,"[8.52, 75.46]",75.46,76.66,
0,1346,4,10,"[80.65, 12.23]",80.65,80.65,
0,1346,5,12,"[77.52, 99.98]",99.98,99.98,
0,1346,6,14,"[3.04, 13.79]",13.79,99.98,
0,1346,7,16,"[99.22, 80.86]",99.22,99.98,
0,1346,8,18,"[95.48, 92.19]",95.48,99.98,
0,1346,9,20,"[1.68, 81.63]",81.63,99.98,
0,1347,0,2,"[23.81, 30.02]",30.02,30.02,
0,1347,1,4,"[5.65, 0.0]",5.65,30.02,
0,1347,2,6,"[9.35, 0.0]",9.35,30.02,
0,1347,3,8,"[54.26, 5.24]",54.26,54.26,
0,1347,4,10,"[25.77, 21.88]",25.77,54.26,
0,1347,5,12,"[3.14, 38.44]",38.44,54.26,
0,1347,6,14,"[50.74, 42.63]",50.74,54.26,
0,1347,7,16,"[49.09, 59.82]",59.82,59.82,
0,1347,8,18,"[91.19, 12.23]",91.19,91.19,
0,1347,9,20,"[99.98, 62.33]",99.98,99.98,
0,1348,0,2,"[88.82, 0.0]",88.82,88.82,
0,1348,1,4,"[4.78, 6.87]",6.87,88.82,
0,1348,2,6,"[96.64, 3.04]",96.64,96.64,
0,1348,3,8,"[92.19, 46.42]",92.19,96.64,
0,1348,4,10,"[99.22, 92.03]",99.22,99.22,
0,1348,5,12,"[66.84, 95.48]",95.48,99.22,
0,1348,6,14,"[98.38, 91.19]",98.38,99.22,
0,1348,7,16,"[5.95, 26.39]",26.39,99.22,
0,1348,8,18,"[81.63, 99.98]",99.98,99.98,
0,1348,9,20,"[80.86, 71.81]",80.86,99.98,
0,1349,0,2,"[4.3, 18.22]",18.22,18.22,
0,1349,1,4,"[23.81, 7.88]",23.81,23.81,
0,1349,2,6,"[4.78, 21.09]",21.09,23.81,
0,1349,3,8,"[9.35, 5.15]",9.35,23.81,
0,1349,4,10,"[7.54, 1.23]",7.54,23.81,
0,1349,5,12,"[68.17, 53.11]",68.17,68.17,
0,1349,6,14,"[78.93, 99.81]",99.81,99.81,
0,1349,7,16,"[0.89, 89.95]",89.95,99.81,
0,1349,8,18,"[98.38, 92.19]",98.38,99.81,
0,1349,9,20,"[99.22, 80.86]",99.22,99.81,
0,1350,0,2,"[19.02, 70.26]",70.26,70.26,
0,1350,1,4,"[53.11, 39.32]",53.11,70.26,
0,1350,2,6,"[20.72, 10.59]",20.72,70.26,
0,1350,3,8,"[99.81, 13.34]",99.81,99.81,
0,1350,4,10,"[24.11, 77.52]",77.52,99.81,
0,1350,5,12,"[45.01, 89.95]",89.95,99.81,
0,1350,6,14,"[96.64, 92.19]",96.64,99.81,
0,1350,7,16,"[98.38, 92.03]",98.38,99.81,
0,1350,8,18,"[3.14, 31.14]",31.14,99.81,
0,1350,9,20,"[99.22, 45.73]",99.22,99.81,
0,1351,0,2,"[0.0, 0.0]",0.0,0.0,
0,1351,1,4,"[11.91, 23.23]",23.23,23.23,
0,1351,2,6,"[85.21, 25.45]",85.21,85.21,
0,1351,3,8,"[88.89, 5.65]",88.89,88.89,
0,1351,4,10,"[96.64, 0.0]",96.64,96.64,
0,1351,5,12,"[3.14, 2.13]",3.14,96.64,
0,1351,6,14,"[98.38, 31.14]",98.38,98.38,
0,1351,7,16,"[52.08, 99.22]",99.22,99.22,
0,1351,8,18,"[99.81, 95.48]",99.81,99.81,
0,1351,9,20,"[83.22, 89.95]",89.95,99.81,
0,1352,0,2,"[95.48, 16.77]",95.48,95.48,
0,1352,1,4,"[80.65, 5.15]",80.65,95.48,
0,1352,2,6,"[13.79, 0.0]",13.79,95.48,
0,1352,3,8,"[92.19, 76.66]",92.19,95.48,
0,1352,4,10,"[89.95, 91.19]",91.19,95.48,
0,1352,5,12,"[98.38, 12.23]",98.38,98.38,
0,1352,6,14,"[11.91, 99.22]",99.22,99.22,
0,1352,7,16,"[99.98, 52.47]",99.98,99.98,
0,1352,8,18,"[32.21, 80.86]",80.86,99.98,
0,1352,9,20,"[83.22, 99.81]",99.81,99.98,
0,1353,0,2,"[3.04, 77.01]",77.01,77.01,
0,1353,1,4,"[2.78, 13.33]",13.33,77.01,
0,1353,2,6,"[7.54, 27.16]",27.16,77.01,
0,1353,3,8,"[20.72, 70.8]",70.8,77.01,
0,1353,4,10,"[84.49, 59.05]",84.49,84.49,
0,1353,5,12,"[84.67, 48.34]",84.67,84.67,
0,1353,6,14,"[78.6, 76.24]",78.6,84.67,
0,1353,7,16,"[5.95, 6.23]",6.23,84.67,
0,1353,8,18,"[71.43, 45.62]",71.43,84.67,
0,1353,9,20,"[27.8, 62.15]",62.15,84.67,
0,1354,0,2,"[0.0, 11.5]",11.5,11.5,
0,1354,1,4,"[89.14, 49.48]",89.14,89.14,
0,1354,2,6,"[62.04, 3.18]",62.04,89.14,
0,1354,3,8,"[98.38, 29.51]",98.38,98.38,
0,1354,4,10,"[5.95, 96.64]",96.64,98.38,
0,1354,5,12,"[92.03, 76.66]",92.03,98.38,
0,1354,6,14,"[89.95, 95.48]",95.48,98.38,
0,1354,7,16,"[99.22, 31.14]",99.22,99.22,
0,1354,8,18,"[5.9, 92.19]",92.19,99.22,
0,1354,9,20,"[21.88, 71.81]",71.81,99.22,
0,1355,0,2,"[45.37, 75.46]",75.46,75.46,
0,1355,1,4,"[0.0, 11.72]",11.72,75.46,
0,1355,2,6,"[21.88, 0.0]",21.88,75.46,
